"Year","Predicted OFL (mt)","ABC Catch (mt)","Age 4+ Biomass (mt)","Spawning Biomass (mt)","Fraction Unfished"
2021,"13,117.00","7,405.00","265,655.00","97,801.90","0.58"
2022,"12,515.20","7,055.00","261,481.00","99,956.50","0.59"
2023,"11,577.10","10,824.60","253,540.00","99,449.90","0.59"
2024,"10,669.80","9,922.92","246,090.00","95,943.80","0.57"
2025,"10,120.60","9,371.67","241,976.00","93,063.30","0.55"
2026,"9,837.41","9,070.09","238,823.00","90,925.00","0.54"
2027,"9,742.34","8,933.73","236,280.00","89,290.80","0.53"
2028,"9,735.24","8,888.27","234,037.00","87,941.50","0.52"
2029,"9,747.17","8,860.17","231,955.00","86,743.80","0.51"
2030,"9,746.00","8,810.38","229,993.00","85,644.50","0.51"
2031,"9,725.92","8,753.33","228,162.00","84,634.20","0.50"
2032,"9,691.91","8,683.95","226,462.00","83,707.80","0.50"
