"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40","Age41","Age42","Age43","Age44","Age45","Age46","Age47","Age48","Age49","Age50","Age51","Age52","Age53","Age54","Age55","Age56","Age57","Age58","Age59","Age60","Age61","Age62","Age63","Age64","Age65","Age66","Age67","Age68","Age69","Age70"
1890,3.44235,1913.15,4087.67,6190.59,7843.4,8952.13,9570.37,9802.83,9756.41,9521.06,9165.55,8739.56,8277.55,7802.72,7330.23,6869.64,6426.74,6004.77,5605.32,5228.86,4875.2,4543.72,4233.51,3943.58,3672.82,3420.14,3184.46,2964.7,2759.86,2568.98,2391.13,2250.15,2092.64,1946.14,1809.9,1683.19,1565.35,1455.76,1353.84,1259.05,1170.9,1088.92,1012.68,941.78,875.842,814.52,757.492,704.457,655.135,609.266,566.609,526.938,490.045,455.735,423.827,394.153,366.557,340.893,317.025,294.829,274.187,254.99,237.137,220.534,205.093,190.734,177.38,164.961,153.411,142.67,1895.06
1891,3.42721,1899.83,4072.06,6168.07,7816.02,8921.5,9538.16,9770.79,9725.76,9492.52,9139.49,8716.07,8256.56,7784.08,7313.73,6855.08,6413.92,5993.5,5595.42,5220.18,4867.6,4537.06,4227.7,3938.5,3668.38,3416.27,3181.08,2961.76,2757.3,2566.74,2389.18,2223.76,2092.63,1946.14,1809.89,1683.19,1565.34,1455.75,1353.83,1259.05,1170.9,1088.92,1012.68,941.776,875.839,814.518,757.49,704.455,655.133,609.264,566.607,526.937,490.043,455.733,423.826,394.152,366.555,340.891,317.024,294.828,274.186,254.989,237.136,220.533,205.093,190.733,177.379,164.96,153.41,142.67,1895.05
1892,3.41143,1891.47,4043.7,6144.5,7787.58,8890.23,9505.21,9737.58,9693.64,9462.39,9111.83,8691.07,8234.21,7764.23,7296.17,6839.59,6400.28,5981.5,5584.88,5210.94,4859.5,4529.96,4221.48,3933.06,3663.63,3412.12,3177.46,2958.6,2754.54,2564.34,2387.09,2221.93,2068.08,1946.12,1809.88,1683.17,1565.33,1455.74,1353.82,1259.03,1170.88,1088.91,1012.67,941.767,875.83,814.51,757.482,704.448,655.127,609.258,566.602,526.931,490.039,455.729,423.821,394.148,366.552,340.888,317.021,294.825,274.183,254.986,237.134,220.531,205.091,190.731,177.377,164.958,153.409,142.668,1895.03
1893,3.395,1882.76,4025.91,6101.71,7757.82,8857.86,9471.84,9703.88,9660.63,9431.08,9082.85,8664.73,8210.57,7743.19,7277.55,6823.16,6385.81,5968.78,5573.7,5201.12,4850.88,4522.41,4214.87,3927.27,3658.57,3407.7,3173.59,2955.22,2751.6,2561.77,2384.85,2219.98,2066.37,1923.28,1809.86,1683.15,1565.31,1455.72,1353.8,1259.02,1170.87,1088.89,1012.66,941.757,875.82,814.501,757.474,704.44,655.119,609.252,566.595,526.926,490.033,455.724,423.817,394.144,366.548,340.884,317.017,294.822,274.18,254.983,237.131,220.528,205.088,190.729,177.375,164.957,153.407,142.667,1895.01
1894,3.3779,1873.7,4007.38,6074.87,7703.78,8823.9,9437.08,9669.53,9626.91,9398.7,9052.58,8637,8185.56,7720.88,7257.78,6805.71,6370.43,5955.25,5561.81,5190.67,4841.71,4514.37,4207.82,3921.1,3653.17,3402.97,3169.46,2951.61,2748.45,2559.02,2382.45,2217.89,2064.55,1921.69,1788.61,1683.12,1565.29,1455.7,1353.78,1259,1170.85,1088.88,1012.64,941.741,875.806,814.487,757.462,704.429,655.109,609.242,566.586,526.917,490.025,455.716,423.81,394.137,366.542,340.879,317.012,294.817,274.175,254.979,237.127,220.525,205.085,190.726,177.372,164.954,153.405,142.664,1894.98
1895,3.3601,1864.26,3988.08,6046.9,7669.89,8762.37,9400.72,9633.86,9592.65,9365.72,9021.34,8608.09,8159.28,7697.3,7236.81,6787.18,6354.11,5940.89,5549.18,5179.58,4831.97,4505.82,4200.32,3914.53,3647.41,3397.94,3165.06,2947.76,2745.08,2556.08,2379.88,2215.65,2062.59,1919.98,1787.12,1663.36,1565.25,1455.67,1353.75,1258.97,1170.83,1088.85,1012.62,941.722,875.788,814.471,757.446,704.414,655.095,609.229,566.575,526.906,490.015,455.707,423.801,394.129,366.534,340.872,317.006,294.811,274.17,254.974,237.122,220.52,205.081,190.722,177.369,164.951,153.402,142.661,1894.94
1896,3.34157,1854.43,3967.99,6017.79,7634.57,8723.68,9334.81,9596.37,9556.89,9332.03,8989.38,8578.15,8131.8,7672.46,7214.63,6767.51,6336.76,5925.62,5535.76,5167.79,4821.61,4496.72,4192.34,3907.52,3641.27,3392.56,3160.35,2943.64,2741.48,2552.93,2377.13,2213.24,2060.5,1918.15,1785.52,1661.96,1546.86,1455.63,1353.72,1258.94,1170.8,1088.82,1012.59,941.696,875.764,814.449,757.426,704.395,655.077,609.213,566.559,526.892,490.002,455.695,423.79,394.118,366.524,340.862,316.997,294.803,274.162,254.967,237.116,220.514,205.075,190.717,177.364,164.946,153.397,142.657,1894.89
1897,3.32225,1844.2,3947.08,5987.47,7597.8,8683.43,9293.43,9528.91,9519.52,9297.07,8956.9,8547.65,8103.44,7646.57,7191.31,6746.73,6318.37,5909.42,5521.51,5155.27,4810.62,4487.07,4183.86,3900.08,3634.75,3386.84,3155.33,2939.25,2737.64,2549.57,2374.19,2210.68,2058.25,1916.19,1783.81,1660.47,1545.56,1438.52,1353.67,1258.9,1170.76,1088.79,1012.56,941.667,875.737,814.423,757.402,704.373,655.057,609.194,566.542,526.876,489.987,455.681,423.777,394.106,366.513,340.852,316.987,294.794,274.154,254.959,237.109,220.508,205.069,190.711,177.359,164.941,153.393,142.653,1894.83
1898,3.30211,1833.54,3925.31,5955.92,7559.52,8641.55,9250.39,9486.49,9452.43,9260.55,8923.21,8516.66,8074.54,7619.84,7167,6724.9,6298.95,5892.25,5506.4,5141.98,4798.94,4476.82,4174.86,3892.18,3627.81,3380.75,3150,2934.58,2733.54,2545.99,2371.06,2207.94,2055.86,1914.1,1781.99,1658.87,1544.17,1437.3,1337.76,1258.86,1170.72,1088.75,1012.53,941.635,875.707,814.396,757.376,704.349,655.035,609.173,566.522,526.858,489.97,455.665,423.762,394.093,366.501,340.84,316.977,294.784,274.145,254.951,237.1,220.5,205.062,190.705,177.353,164.935,153.387,142.648,1894.77
1899,3.28109,1822.43,3902.62,5923.06,7519.68,8597.94,9205.6,9442.38,9410.17,9195.11,8888.01,8484.51,8045.18,7592.61,7141.91,6702.13,6278.54,5874.12,5490.38,5127.88,4786.56,4465.94,4165.31,3883.79,3620.45,3374.29,3144.33,2929.61,2729.19,2542.18,2367.72,2205.02,2053.31,1911.87,1780.04,1657.17,1542.68,1436,1336.62,1244.05,1170.68,1088.71,1012.49,941.599,875.674,814.365,757.348,704.323,655.01,609.15,566.501,526.838,489.951,455.648,423.746,394.078,366.487,340.827,316.965,294.773,274.134,254.941,237.091,220.492,205.054,190.697,177.346,164.929,153.382,142.643,1894.7
