"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40","Age41","Age42","Age43","Age44","Age45","Age46","Age47","Age48","Age49","Age50","Age51","Age52","Age53","Age54","Age55","Age56","Age57","Age58","Age59","Age60","Age61","Age62","Age63","Age64","Age65","Age66","Age67","Age68","Age69","Age70"
1900,3.25918,1810.83,3878.95,5888.82,7478.19,8552.56,9158.98,9396.48,9366.24,9153.83,8825.06,8450.93,8014.73,7564.95,7116.35,6678.64,6257.26,5855.06,5473.46,5112.95,4773.42,4454.4,4155.17,3874.9,3612.64,3367.43,3138.31,2924.33,2724.56,2538.12,2364.17,2201.9,2050.58,1909.49,1777.95,1655.35,1541.09,1434.61,1335.41,1242.99,1156.9,1088.67,1012.45,941.561,875.638,814.331,757.316,704.293,654.983,609.125,566.477,526.816,489.931,455.629,423.728,394.061,366.471,340.813,316.951,294.76,274.123,254.93,237.082,220.483,205.046,190.689,177.338,164.922,153.375,142.637,1894.62
1901,3.23635,1798.73,3854.26,5853.11,7434.9,8504.57,9108.61,9346.79,9318.59,9109.08,8783.73,8389.74,7982.05,7535.64,7089.94,6654.38,6235.03,5834.96,5455.47,5096.98,4759.32,4441.98,4144.26,3865.31,3604.21,3360.02,3131.8,2918.6,2719.53,2533.7,2360.29,2198.5,2047.6,1906.87,1775.66,1653.34,1539.33,1433.07,1334.06,1241.81,1155.87,1075.81,1012.36,941.482,875.565,814.263,757.253,704.234,654.928,609.074,566.43,526.772,489.89,455.591,423.693,394.028,366.441,340.785,316.925,294.736,274.1,254.909,237.062,220.464,205.028,190.673,177.324,164.908,153.362,142.625,1894.46
1902,3.21267,1786.13,3828.47,5815.76,7389.62,8454.46,9055.35,9293.15,9267.04,9060.58,8738.94,8349.01,7923.21,7504.17,7061.94,6629.28,6212.05,5813.94,5436.48,5079.98,4744.23,4428.65,4132.51,3854.97,3595.11,3352.02,3124.76,2912.41,2714.08,2528.9,2356.07,2194.8,2044.34,1904.01,1773.15,1651.13,1537.39,1431.37,1332.56,1240.49,1154.71,1074.8,1000.36,941.358,875.449,814.156,757.153,704.142,654.842,608.994,566.355,526.702,489.826,455.531,423.637,393.977,366.393,340.74,316.883,294.697,274.064,254.875,237.031,220.435,205.001,190.648,177.3,164.887,153.342,142.606,1894.21
1903,3.18817,1773.05,3801.61,5776.75,7342.28,8402.1,8999.84,9236.55,9211.57,9008.3,8690.57,8305,7883.69,7448.11,7031.92,6602.7,6188.29,5792.22,5416.63,5062.05,4728.18,4414.39,4119.91,3843.85,3585.33,3343.4,3117.17,2905.72,2708.18,2523.71,2351.5,2190.77,2040.79,1900.89,1770.4,1648.71,1535.26,1429.5,1330.92,1239.04,1153.44,1073.67,999.369,930.154,875.292,814.009,757.017,704.015,654.724,608.884,566.253,526.608,489.738,455.449,423.561,393.906,366.327,340.679,316.826,294.644,274.015,254.83,236.988,220.395,204.965,190.614,177.268,164.857,153.315,142.58,1893.87
1904,3.16291,1759.53,3773.73,5736.12,7292.85,8347.4,8941.94,9177.66,9153.19,8952.21,8638.56,8257.58,7841.08,7410.23,6978.86,6574.22,6163.14,5769.77,5396.13,5043.32,4711.26,4399.24,4106.44,3831.94,3574.81,3334.14,3109,2898.52,2701.83,2518.11,2346.55,2186.41,2036.95,1897.5,1767.41,1646.08,1532.94,1427.45,1329.11,1237.45,1152.03,1072.43,998.274,929.187,864.832,813.823,756.844,703.854,654.574,608.745,566.124,526.487,489.625,455.345,423.464,393.816,366.243,340.601,316.754,294.576,273.952,254.771,236.934,220.345,204.918,190.57,177.228,164.819,153.28,142.548,1893.43
1905,3.13687,1745.59,3744.91,5693.97,7241.37,8290.31,8881.54,9116.33,9092.53,8893.28,8582.91,8206.71,7795.25,7369.43,6942.83,6524.21,6136.22,5746.02,5374.94,5023.98,4693.59,4383.28,4092.15,3819.23,3563.56,3324.2,3100.23,2890.78,2695,2512.08,2341.23,2181.7,2032.79,1893.83,1764.17,1643.22,1530.41,1425.22,1327.14,1235.71,1150.49,1071.07,997.072,928.123,863.89,804.058,756.633,703.658,654.392,608.575,565.966,526.341,489.489,455.218,423.346,393.706,366.141,340.506,316.666,294.494,273.876,254.7,236.868,220.284,204.861,190.517,177.179,164.773,153.237,142.508,1892.91
1906,3.10997,1731.22,3715.2,5650.4,7188.08,8232.29,8822.08,9056.09,9033.13,8835.64,8527.5,8154.69,7747.84,7326.78,6904.9,6490.74,6089.71,5721.08,5352.96,5004.39,4675.71,4366.96,4077.41,3806.03,3551.83,3313.82,3091.07,2882.7,2687.88,2505.79,2335.68,2176.81,2028.47,1890.01,1760.8,1640.25,1527.79,1422.9,1325.1,1233.91,1148.9,1069.67,995.833,927.028,862.923,803.203,747.574,703.48,654.227,608.421,565.823,526.208,489.366,455.103,423.239,393.606,366.048,340.42,316.586,294.42,273.806,254.636,236.808,220.228,204.809,190.469,177.134,164.732,153.198,142.472,1892.43
1907,3.08214,1716.37,3684.57,5605.48,7132.95,8171.75,8760.48,8995.62,8973.59,8778.05,8472.35,8102.14,7698.78,7282.24,6864.95,6455.29,6058.48,5677.72,5329.73,4983.92,4657.48,4350.33,4062.22,3792.32,3539.56,3302.91,3081.42,2874.18,2680.37,2499.17,2329.84,2171.65,2023.92,1886,1757.26,1637.12,1525.03,1420.47,1322.95,1232.01,1147.23,1068.2,994.529,925.877,861.906,802.304,746.779,695.058,654.062,608.268,565.681,526.075,489.242,454.988,423.133,393.507,365.956,340.334,316.506,294.346,273.737,254.572,236.748,220.172,204.757,190.421,177.089,164.69,153.16,142.436,1891.95
1908,3.05345,1701.01,3652.93,5559.18,7076.12,8108.82,8695.43,8932.15,8913.01,8719.57,8416.59,8049.3,7648.85,7235.91,6823.06,6417.81,6025.28,5648.51,5289.25,4962.21,4638.36,4333.29,4046.69,3778.14,3526.75,3291.44,3071.22,2865.16,2672.4,2492.15,2323.64,2166.19,2019.1,1881.73,1753.49,1633.79,1522.09,1417.88,1320.66,1229.99,1145.45,1066.62,993.14,924.65,860.822,801.345,745.931,694.307,646.22,608.105,565.529,525.934,489.111,454.866,423.019,393.402,365.858,340.243,316.421,294.267,273.664,254.503,236.685,220.113,204.702,190.37,177.042,164.646,153.119,142.398,1891.44
1909,3.02418,1685.18,3620.21,5511.37,7017.68,8045.92,8632.81,8870.37,8854.71,8665.06,8364.24,7999.22,7601.07,7190.44,6780.68,6379.42,5990.93,5618.11,5262.53,4924.99,4618.58,4315.91,4031.22,3764.04,3513.89,3279.84,3060.85,2855.95,2664.27,2484.97,2317.33,2160.63,2014.2,1877.42,1749.69,1630.45,1519.15,1415.28,1318.38,1227.98,1143.68,1065.07,991.77,923.445,859.761,800.412,745.11,693.584,645.583,600.871,565.43,525.842,489.025,454.787,422.945,393.333,365.794,340.183,316.365,294.215,273.616,254.459,236.643,220.075,204.666,190.337,177.011,164.617,153.092,142.373,1891.11
1910,2.99448,1669.02,3586.47,5461.9,6957.07,7977.69,8561.42,8801.86,8788.79,8603.94,8308.15,7946.5,7551.62,7144,6736.99,6338.98,5954.42,5585.49,5233.67,4899.61,4583.47,4297.07,4014.64,3749.27,3500.42,3267.55,3049.75,2846.02,2655.43,2477.16,2310.43,2154.54,2008.83,1872.68,1745.51,1626.75,1515.88,1412.4,1315.83,1225.73,1141.69,1063.31,990.222,922.078,858.554,799.345,744.166,692.75,644.845,600.217,558.647,525.697,488.89,454.661,422.828,393.224,365.693,340.089,316.278,294.134,273.541,254.389,236.578,220.014,204.61,190.284,176.962,164.572,153.05,142.334,1890.59
1911,2.96445,1652.62,3552.03,5410.9,6894.36,7907.01,8484.37,8724.4,8716.19,8535.4,8245.7,7890.23,7499.68,7096,6692.39,6297.31,5915.99,5550.85,5202.74,4872.24,4559.39,4263.96,3996.7,3733.47,3486.33,3254.69,3038.01,2835.41,2645.92,2468.69,2302.92,2147.9,2002.96,1867.5,1740.92,1622.69,1512.29,1409.22,1313.01,1223.24,1139.48,1061.36,988.49,920.544,857.194,798.14,743.098,691.802,644.003,599.469,557.982,519.337,488.705,454.489,422.668,393.075,365.554,339.96,316.158,294.023,273.437,254.292,236.488,219.931,204.532,190.212,176.895,164.509,152.991,142.28,1889.87
1912,2.93359,1636.04,3517.08,5358.84,6829.72,7833.94,8404.71,8641.19,8634.75,8460.38,8176.16,7827.91,7444.38,7045.66,6646.32,6254.78,5876.41,5514.42,5169.93,4842.93,4533.44,4241.11,3965.5,3716.4,3471.27,3241.25,3025.74,2824.19,2635.78,2459.59,2294.81,2140.7,1996.58,1861.84,1735.92,1618.26,1508.36,1405.73,1309.92,1220.5,1137.05,1059.19,986.569,918.837,855.678,796.793,741.9,690.736,643.055,598.624,557.228,518.664,482.742,454.269,422.463,392.885,365.377,339.796,316.005,293.88,273.305,254.169,236.374,219.824,204.433,190.12,176.809,164.43,152.917,142.211,1888.96
1913,2.90127,1619,3481.75,5306.01,6763.75,7758.67,8322.53,8555.33,8547.61,8376.78,8100.4,7758.85,7383.38,6992.15,6598.06,6210.88,5836.04,5476.92,5135.44,4811.88,4505.69,4216.52,3943.82,3686.99,3455.03,3226.9,3012.92,2812.48,2625.08,2449.9,2286.11,2132.93,1989.67,1855.71,1730.48,1613.43,1504.07,1401.93,1306.54,1217.49,1134.37,1056.81,984.453,916.954,854.001,795.299,740.569,689.549,641.995,597.679,556.383,517.908,482.065,448.678,422.214,392.653,365.162,339.595,315.819,293.707,273.143,254.019,236.234,219.694,204.313,190.008,176.705,164.333,152.827,142.127,1887.85
1914,2.86724,1601.16,3445.44,5252.61,6696.8,7681.9,8238.01,8466.9,8457.87,8287.66,8016.43,7683.9,7316.01,6933.29,6546.83,6164.93,5794.37,5438.68,5099.96,4779.26,4476.31,4190.26,3920.53,3666.44,3427.32,3211.46,2999.26,2800.27,2613.91,2439.69,2276.85,2124.61,1982.24,1849.09,1724.6,1608.21,1499.43,1397.79,1302.86,1214.22,1131.46,1054.22,982.136,914.888,852.158,793.654,739.1,688.237,640.823,596.629,555.444,517.067,481.311,448.001,416.972,392.379,364.906,339.358,315.598,293.502,272.952,253.842,236.069,219.541,204.17,189.875,176.581,164.218,152.72,142.028,1886.53
1915,2.83248,1582.37,3407.42,5197.73,6629.14,7604.01,8151.9,8376.11,8365.59,8196.02,7927.19,7601.16,7243.09,6868.44,6490.57,6116.19,5750.79,5399.23,5063.78,4745.71,4445.47,4162.48,3895.69,3644.39,3407.84,3185.35,2984.58,2787.26,2602.27,2429.04,2267.11,2115.77,1974.29,1841.98,1718.25,1602.56,1494.4,1393.32,1298.88,1210.66,1128.29,1051.39,979.612,912.633,850.144,791.853,737.49,686.796,639.532,595.473,554.408,516.137,480.475,447.25,416.297,387.465,364.611,339.083,315.342,293.264,272.731,253.636,235.878,219.363,204.005,189.721,176.438,164.085,152.597,141.913,1885
1916,2.79808,1563.18,3367.4,5140.29,6559.63,7525.33,8064.62,8283.71,8271,8101.94,7835.55,7513.43,7162.83,6798.38,6428.73,6062.78,5704.62,5357.99,5026.47,4711.51,4413.77,4133.34,3869.42,3620.88,3386.96,3166.89,2959.97,2773.3,2589.89,2417.95,2256.96,2106.49,1965.86,1834.39,1711.45,1596.49,1488.99,1388.5,1294.58,1206.83,1124.86,1048.33,976.875,910.186,847.954,789.893,735.734,685.223,638.122,594.208,553.271,515.116,479.558,446.424,415.553,386.793,360.004,338.771,315.052,292.994,272.48,253.402,235.661,219.161,203.817,189.547,176.276,163.934,152.456,141.782,1883.26
1917,2.76175,1544.11,3326.3,5079.31,6484.57,7420.77,7917.15,8128.06,8112.21,7946.04,7690.6,7383.66,7048.91,6701.04,6347.42,5993.05,5644.97,5306.35,4980.22,4669.51,4375.15,4097.49,3836.37,3590.88,3359.89,3142.6,2938.25,2746.17,2572.92,2402.71,2243.17,2093.8,1954.19,1823.72,1701.75,1587.7,1481.04,1381.32,1288.09,1200.96,1119.56,1043.52,972.518,906.233,844.366,786.635,732.773,682.53,635.671,591.976,551.238,513.262,477.866,444.879,414.141,385.502,358.823,333.971,314.273,292.269,271.806,252.776,235.078,218.619,203.313,189.078,175.84,163.528,152.079,141.431,1878.6
1918,2.72548,1523.93,3278.45,5001.77,6385.07,7318.18,7769.38,7940.17,7920.24,7755.73,7509.75,7220.57,6906.83,6579.1,6244.59,5907.47,5571.57,5243.2,4925.15,4619.94,4329.97,4055.86,3797.68,3555.14,3327.31,3113.04,2911.56,2722.14,2544.12,2383.57,2225.86,2078.04,1939.66,1810.31,1689.44,1576.45,1470.79,1371.99,1279.61,1193.25,1112.53,1037.12,966.682,900.908,839.504,782.192,728.712,678.815,632.272,588.864,548.387,510.648,475.468,442.678,412.12,383.646,357.116,332.401,309.379,291.131,270.748,251.792,234.163,217.768,202.521,188.342,175.155,162.892,151.487,140.881,1871.29
1919,2.68779,1503.85,3238.96,4936.96,6295.38,7176.14,7585.24,7712.44,7657.32,7496.33,7265.16,7000.51,6718.01,6421.33,6113.35,5798.7,5481.44,5165.84,4858.19,4561.11,4276.79,4007.21,3752.76,3513.36,3288.65,3077.67,2879.33,2692.87,2517.61,2352.92,2204.41,2058.53,1921.81,1793.82,1674.2,1562.42,1457.91,1360.2,1268.83,1183.39,1103.52,1028.88,959.134,893.993,833.164,776.377,723.375,673.916,627.772,584.728,544.584,507.151,472.25,439.715,409.391,381.131,354.797,330.263,307.406,286.115,269.24,250.389,232.858,216.555,201.393,187.293,174.179,161.984,150.643,140.096,1860.87
1920,2.65065,1483.25,3197.85,4880.91,6222.22,7130.04,7572.04,7667.89,7575.74,7378.17,7134.13,6860.29,6577.74,6291.69,5999.98,5702.35,5401.68,5100.97,4803.63,4515.03,4237.22,3971.94,3720.82,3484.04,3261.45,3052.62,2856.64,2672.44,2499.32,2336.61,2183.73,2045.88,1910.48,1783.59,1664.8,1553.77,1450.03,1353.04,1262.36,1177.55,1098.26,1024.14,954.863,890.138,829.683,773.23,720.528,671.339,625.437,582.612,542.665,505.409,470.668,438.278,408.084,379.941,353.714,329.275,306.505,285.292,265.533,249.872,232.377,216.107,200.977,186.906,173.819,161.65,150.332,139.806,1857.02
1921,2.61307,1462.73,3150.18,4810.69,6140.63,7053.69,7543.04,7674.95,7552.28,7318.61,7037.6,6748.54,6454.2,6165.58,5882.13,5598.73,5313.46,5027.99,4744.39,4465.31,4195.34,3936.06,3688.88,3455.15,3234.94,3028.05,2834.01,2651.96,2480.9,2320.14,2169.07,2027.14,1899.16,1773.46,1655.66,1545.39,1442.32,1346.02,1255.99,1171.81,1093.09,1019.48,950.676,886.37,826.288,770.169,717.765,668.844,623.183,580.574,540.821,503.739,469.156,436.907,406.84,378.812,352.688,328.341,305.655,284.519,264.828,246.486,231.948,215.708,200.606,186.56,173.499,161.351,150.054,139.548,1853.59
1922,2.57635,1441.94,3104.42,4734.3,6045.28,6952.83,7443.18,7625.65,7539.35,7277.27,6964.82,6644.61,6339.59,6042.8,5758.93,5484.51,5213.25,4942.56,4673.45,4407.38,4146.45,3894.64,3653.2,3423.27,3206.04,3001.49,2809.38,2629.26,2460.3,2301.56,2152.39,2012.22,1880.54,1761.81,1645.2,1535.91,1433.61,1338,1248.66,1165.14,1087.05,1014.02,945.743,881.912,822.257,766.521,714.461,665.848,620.465,578.107,538.58,501.702,467.303,435.221,405.304,377.412,351.411,327.177,304.592,283.547,263.939,245.673,228.658,215.171,200.106,186.096,173.066,160.949,149.68,139.201,1848.97
1923,2.53871,1421.78,3066.72,4679.24,5968.69,6852.7,7350.85,7539.37,7505.66,7278.82,6937.75,6586.08,6250.2,5942.19,5649.86,5374.54,5111.33,4853.47,4597.92,4345.13,4096.1,3852.49,3617.78,3393,3179.13,2977.17,2787.08,2608.59,2441.28,2284.36,2136.94,1998.43,1868.27,1746,1635.76,1527.48,1426.02,1331.04,1242.27,1159.32,1081.77,1009.27,941.468,878.072,818.809,763.422,711.674,663.339,618.204,576.069,536.741,500.043,465.804,433.866,404.079,376.303,350.407,326.267,303.766,282.797,263.258,245.053,228.094,212.296,199.775,185.788,172.78,160.683,149.433,138.97,1845.91
1924,2.49949,1400.92,3021.43,4617.24,5890.89,6747.21,7200.32,7399.11,7373.66,7201.57,6901.17,6530.97,6173.55,5842.95,5544.45,5263.86,5001.35,4751.88,4508.83,4269.08,4032.75,3800.53,3573.76,3355.54,3146.74,2948.17,2760.74,2584.37,2418.8,2263.63,2118.09,1981.38,1852.94,1732.25,1618.88,1516.66,1416.27,1322.19,1234.12,1151.81,1074.9,1003.01,935.779,872.915,814.136,759.187,707.834,659.853,615.038,573.19,534.122,497.658,463.632,431.886,402.274,374.656,348.903,324.892,302.51,281.648,262.205,244.089,227.21,211.485,196.838,185.228,172.259,160.199,148.983,138.552,1840.35
1925,2.22529,1379.2,2973.61,4541.6,5801.8,6648.04,7064.5,7221.61,7210.28,7049.96,6806.37,6479.46,6109.15,5761.93,5444.74,5159.92,4893.42,4645.15,4410.28,4182.43,3958.46,3738.25,3522.26,3311.62,3109.08,2915.4,2731.29,2557.55,2394.1,2240.68,2096.9,1962.07,1835.42,1716.43,1604.63,1499.6,1404.91,1311.92,1224.77,1143.19,1066.94,995.701,929.101,866.828,808.596,754.148,703.248,655.678,611.233,569.72,530.956,494.766,460.989,429.47,400.064,372.633,347.05,323.195,300.953,280.22,260.895,242.885,226.104,210.468,195.902,182.334,171.58,159.567,148.395,138.005,1833.09
1926,2.25659,1227.88,2929.17,4473.25,5710.92,6537.34,6933.99,7057.7,7009.51,6867.32,6640.61,6373.12,6048.67,5693.48,5363.53,5062.95,4793.44,4542,4308.57,4088.53,3875.76,3667.16,3462.45,3261.92,3066.52,2878.77,2699.29,2528.74,2367.82,2216.45,2074.39,1941.26,1816.43,1699.17,1589.01,1485.5,1388.27,1300.61,1214.52,1133.84,1058.31,987.731,921.777,860.122,802.472,748.563,698.157,651.037,606.998,565.853,527.422,491.535,458.033,426.764,397.585,370.361,344.968,321.284,299.2,278.609,259.415,241.525,224.853,209.317,194.842,181.358,168.797,158.841,147.72,137.377,1824.76
1927,2.16029,1245.23,2611.97,4416.27,5639.18,6443.88,6836.79,6946.17,6869.24,6694.01,6484.25,6230.67,5959.33,5644.73,5305.79,4992.39,4707.7,4453.16,4216.58,3997.72,3792.04,3593.68,3399.56,3209.32,3023.14,2841.84,2667.7,2501.29,2343.18,2194.03,2053.75,1922.1,1798.73,1683.05,1574.4,1472.32,1376.42,1286.33,1205.1,1125.33,1050.57,980.594,915.195,854.084,796.957,743.54,693.591,646.886,603.226,562.422,524.298,488.689,455.438,424.396,395.423,368.387,343.163,319.634,297.69,277.227,258.149,240.364,223.788,208.34,193.945,180.534,168.039,156.401,147.176,136.872,1818.04
1928,2.10567,1191.95,2642.23,3924.18,5544.68,6340.02,6688.43,6796.46,6708.51,6510.72,6278.05,6049.86,5800.26,5542.06,5245.69,4926.91,4632.06,4364.49,4125.75,3904.51,3700.39,3509.01,3324.77,3144.72,2968.43,2796.02,2628.2,2467.06,2313.11,2166.85,2028.9,1899.16,1777.4,1663.32,1556.34,1455.87,1361.47,1272.79,1189.48,1114.36,1040.6,971.471,906.763,846.287,789.777,736.951,687.557,641.368,598.18,557.807,520.075,484.822,451.894,421.147,392.442,365.651,340.65,317.325,295.568,275.276,256.354,238.712,222.267,206.938,192.653,179.342,166.941,155.387,144.625,136.095,1807.72
1929,2.15137,1161.85,2529.59,3970.58,4928.79,6244.76,6607.44,6676.57,6591.45,6384.3,6128.18,5874.7,5644.62,5403.18,5156.86,4876.14,4575.46,4298.01,4046.94,3823.53,3617.06,3426.98,3249.08,3078.03,2911.04,2747.65,2587.93,2432.51,2283.31,2140.78,2005.4,1877.71,1757.62,1644.93,1539.34,1440.34,1347.35,1259.99,1177.91,1100.81,1031.3,963.032,899.057,839.172,783.205,730.907,682.018,636.306,593.56,553.592,516.228,481.309,448.683,418.21,389.754,363.189,338.395,315.258,293.671,273.536,254.756,237.245,220.918,205.699,191.513,178.293,165.974,154.497,143.804,133.845,1798.92
