"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40","Age41","Age42","Age43","Age44","Age45","Age46","Age47","Age48","Age49","Age50","Age51","Age52","Age53","Age54","Age55","Age56","Age57","Age58","Age59","Age60","Age61","Age62","Age63","Age64","Age65","Age66","Age67","Age68","Age69","Age70"
1890,7560.99,7167.23,6772.53,6398.39,6044.03,5708.85,5391.91,5092.06,4808.28,4539.65,4285.38,4044.74,3817.04,3601.63,3397.92,3205.31,3023.24,2851.18,2688.61,2535.04,2390,2253.05,2123.75,2001.7,1886.51,1777.82,1675.27,1578.53,1487.28,1401.22,1320.07,1257.35,1183.56,1114.11,1048.74,987.198,929.269,874.739,823.41,775.092,729.61,686.796,646.495,608.559,572.849,539.234,507.592,477.807,449.769,423.376,398.533,375.147,353.133,332.412,312.906,294.544,277.261,260.991,245.676,231.26,217.689,204.915,192.891,181.572,170.918,160.888,151.447,142.56,134.195,126.32,2026.38
1891,7527.74,7117.31,6746.65,6375.12,6022.93,5689.35,5373.82,5075.48,4793.22,4526.09,4273.24,4033.9,3807.38,3593.04,3390.28,3198.53,3017.22,2845.84,2683.87,2530.84,2386.28,2249.75,2120.84,1999.13,1884.24,1775.81,1673.5,1576.96,1485.9,1400,1318.99,1242.6,1183.56,1114.11,1048.74,987.196,929.268,874.738,823.409,775.091,729.609,686.796,646.495,608.558,572.848,539.234,507.591,477.806,449.768,423.376,398.532,375.147,353.133,332.411,312.905,294.544,277.26,260.991,245.676,231.26,217.689,204.915,192.891,181.572,170.917,160.888,151.447,142.56,134.195,126.32,2026.38
1892,7493.08,7086.01,6699.67,6350.76,6001.02,5669.46,5355.39,5058.38,4777.55,4511.87,4260.43,4022.43,3797.15,3583.93,3382.18,3191.33,3010.82,2840.16,2678.83,2526.37,2382.32,2246.25,2117.73,1996.38,1881.81,1773.67,1671.6,1575.29,1484.42,1398.7,1317.85,1241.59,1169.68,1114.11,1048.73,987.193,929.265,874.736,823.406,775.089,729.607,686.794,646.493,608.556,572.846,539.232,507.59,477.805,449.767,423.375,398.531,375.145,353.132,332.41,312.904,294.543,277.259,260.99,245.675,231.259,217.689,204.915,192.89,181.572,170.917,160.888,151.447,142.56,134.194,126.32,2026.38
1893,7457,7053.39,6670.2,6306.53,5978.09,5648.83,5336.65,5041.02,4761.44,4497.1,4247.02,4010.36,3786.34,3574.3,3373.6,3183.7,3004.05,2834.14,2673.49,2521.63,2378.11,2242.52,2114.43,1993.45,1879.22,1771.38,1669.58,1573.51,1482.85,1397.31,1316.62,1240.51,1168.73,1101.04,1048.73,987.189,929.261,874.732,823.403,775.086,729.604,686.791,646.49,608.554,572.844,539.23,507.588,477.803,449.766,423.373,398.53,375.144,353.131,332.409,312.903,294.542,277.259,260.989,245.674,231.258,217.688,204.914,192.89,181.571,170.916,160.887,151.446,142.559,134.194,126.32,2026.37
1894,7419.44,7019.43,6639.49,6278.79,5936.46,5627.22,5317.17,5023.32,4745.04,4481.89,4233.08,3997.71,3774.96,3564.11,3364.52,3175.62,2996.86,2827.75,2667.81,2516.59,2373.64,2238.55,2110.91,1990.34,1876.47,1768.94,1667.42,1571.6,1481.16,1395.82,1315.31,1239.35,1167.71,1100.14,1036.43,987.184,929.256,874.728,823.399,775.082,729.6,686.787,646.487,608.551,572.842,539.227,507.586,477.8,449.763,423.371,398.528,375.142,353.129,332.408,312.902,294.541,277.257,260.988,245.673,231.257,217.687,204.913,192.889,181.57,170.916,160.886,151.446,142.559,134.193,126.319,2026.36
1895,7380.34,6984.07,6607.53,6249.89,5910.35,5588.01,5296.79,5004.95,4728.35,4466.42,4218.74,3984.57,3763.04,3553.39,3354.93,3167.06,2989.25,2820.98,2661.8,2511.25,2368.9,2234.34,2107.18,1987.03,1873.54,1766.34,1665.13,1569.57,1479.37,1394.24,1313.91,1238.12,1166.62,1099.18,1035.58,975.604,929.25,874.722,823.393,775.077,729.595,686.783,646.483,608.547,572.838,539.224,507.582,477.798,449.76,423.369,398.525,375.14,353.127,332.406,312.9,294.539,277.256,260.986,245.672,231.256,217.686,204.912,192.888,181.569,170.915,160.885,151.445,142.558,134.193,126.318,2026.35
1896,7339.63,6947.26,6574.24,6219.79,5883.13,5563.39,5259.8,4985.68,4710.98,4450.64,4204.12,3971.02,3750.64,3542.15,3344.82,3158.02,2981.18,2813.81,2655.42,2505.58,2363.86,2229.87,2103.21,1983.51,1870.41,1763.58,1662.68,1567.4,1477.45,1392.55,1312.41,1236.8,1165.45,1098.15,1034.67,974.803,918.347,874.714,823.386,775.07,729.589,686.777,646.477,608.542,572.833,539.219,507.578,477.793,449.757,423.365,398.522,375.137,353.124,332.403,312.897,294.537,277.253,260.984,245.67,231.254,217.684,204.91,192.886,181.568,170.913,160.884,151.444,142.557,134.192,126.317,2026.34
1897,7297.21,6908.94,6539.6,6188.46,5854.8,5537.76,5236.6,4950.83,4692.82,4434.26,4189.24,3957.24,3737.87,3530.46,3334.23,3148.5,2972.67,2806.22,2648.66,2499.57,2358.52,2225.13,2099,1979.77,1867.1,1760.64,1660.07,1565.1,1475.41,1390.74,1310.82,1235.39,1164.21,1097.05,1033.7,973.948,917.593,864.45,823.377,775.062,729.582,686.77,646.471,608.536,572.827,539.214,507.573,477.789,449.752,423.361,398.518,375.133,353.121,332.4,312.895,294.534,277.251,260.982,245.668,231.252,217.682,204.909,192.885,181.566,170.912,160.883,151.442,142.556,134.191,126.316,2026.32
1898,7252.96,6869,6503.52,6155.85,5825.31,5511.08,5212.43,4928.95,4659.98,4417.13,4173.8,3943.22,3724.89,3518.44,3323.23,3138.53,2963.7,2798.2,2641.51,2493.21,2352.87,2220.1,2094.53,1975.81,1863.58,1757.52,1657.31,1562.64,1473.24,1388.82,1309.12,1233.88,1162.88,1095.88,1032.67,973.034,916.786,863.739,813.715,775.053,729.573,686.762,646.463,608.529,572.821,539.208,507.567,477.784,449.747,423.356,398.514,375.129,353.117,332.396,312.891,294.531,277.248,260.979,245.665,231.25,217.68,204.907,192.883,181.564,170.91,160.881,151.441,142.554,134.189,126.315,2026.3
1899,7206.8,6827.36,6465.93,6121.89,5794.61,5483.29,5187.28,4906.17,4639.35,4386.19,4157.64,3928.66,3711.67,3506.2,3311.9,3128.16,2954.31,2789.75,2633.96,2486.47,2346.87,2214.77,2089.79,1971.6,1859.84,1754.2,1654.36,1560.03,1470.93,1386.77,1307.31,1232.28,1161.47,1094.63,1031.56,972.058,915.925,862.979,813.044,765.957,729.564,686.754,646.455,608.522,572.814,539.201,507.561,477.778,449.742,423.352,398.509,375.125,353.113,332.392,312.888,294.528,277.245,260.976,245.662,231.247,217.678,204.904,192.881,181.562,170.908,160.88,151.439,142.553,134.188,126.314,2026.28
1900,7158.67,6783.91,6426.73,6086.51,5762.64,5454.38,5161.09,4882.46,4617.87,4366.74,4128.49,3913.44,3697.96,3493.76,3300.38,3117.49,2944.55,2780.91,2626.01,2479.36,2340.53,2209.13,2084.78,1967.14,1855.88,1750.68,1651.24,1557.26,1468.47,1384.59,1305.38,1230.58,1159.96,1093.3,1030.38,971.017,915.005,862.167,812.328,765.325,721.001,686.744,646.447,608.513,572.806,539.194,507.555,477.772,449.736,423.346,398.504,375.12,353.108,332.388,312.884,294.524,277.242,260.973,245.659,231.244,217.675,204.902,192.878,181.56,170.906,160.878,151.438,142.551,134.186,126.312,2026.26
