"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40","Age41","Age42","Age43","Age44","Age45","Age46","Age47","Age48","Age49","Age50","Age51","Age52","Age53","Age54","Age55","Age56","Age57","Age58","Age59","Age60","Age61","Age62","Age63","Age64","Age65","Age66","Age67","Age68","Age69","Age70"
1890,3.48778,2053.06,3915.26,5569.93,6791.34,7566.7,7971.79,8101.12,8038.9,7850.77,7584.38,7272.88,6938.62,6596.31,6255.4,5921.83,5599.16,5289.42,4993.63,4712.19,4445.05,4191.93,3952.41,3725.95,3511.98,3309.92,3119.18,2939.17,2769.35,2609.16,2458.08,2341.31,2203.94,2074.62,1952.89,1838.29,1730.43,1628.89,1533.3,1443.33,1358.64,1278.91,1203.87,1133.22,1066.73,1004.13,945.209,889.744,837.534,788.388,742.125,698.577,657.585,618.998,582.675,548.484,516.299,486.002,457.484,430.639,405.369,381.582,359.191,338.113,318.273,299.597,282.016,265.468,249.89,235.227,3773.41
1891,3.47244,2038.76,3900.3,5549.67,6767.63,7540.84,7945.04,8074.74,8013.74,7827.32,7562.89,7253.39,6921.07,6580.57,6241.34,5909.29,5588,5279.5,4984.83,4704.38,4438.13,4185.81,3946.99,3721.15,3507.74,3306.18,3115.87,2936.26,2766.78,2606.89,2456.08,2313.86,2203.93,2074.62,1952.88,1838.29,1730.42,1628.88,1533.3,1443.33,1358.64,1278.91,1203.87,1133.22,1066.73,1004.13,945.208,889.743,837.533,788.387,742.124,698.577,657.584,618.997,582.675,548.483,516.298,486.002,457.483,430.638,405.369,381.582,359.19,338.113,318.273,299.596,282.016,265.468,249.89,235.226,3773.41
1892,3.45645,2029.79,3873.13,5528.46,6743.01,7514.48,7917.79,8047.54,7987.53,7802.72,7540.22,7232.76,6902.47,6563.89,6226.43,5895.99,5576.16,5268.97,4975.47,4696.07,4430.76,4179.28,3941.21,3716.04,3503.22,3302.18,3112.35,2933.15,2764.03,2604.47,2453.94,2311.97,2178.09,2074.61,1952.88,1838.29,1730.42,1628.88,1533.3,1443.32,1358.63,1278.91,1203.86,1133.22,1066.72,1004.13,945.205,889.74,837.531,788.384,742.122,698.574,657.582,618.995,582.673,548.482,516.297,486.001,457.482,430.637,405.367,381.581,359.189,338.112,318.272,299.596,282.015,265.467,249.889,235.226,3773.4
1893,3.43981,2020.45,3856.1,5489.96,6717.25,7487.14,7890.09,8019.91,7960.6,7777.18,7516.5,7211.07,6882.83,6546.24,6210.64,5881.9,5563.6,5257.8,4965.54,4687.25,4422.94,4172.34,3935.06,3710.6,3498.41,3297.93,3108.58,2929.82,2761.1,2601.88,2451.66,2309.96,2176.31,2050.28,1952.87,1838.28,1730.41,1628.87,1533.29,1443.32,1358.63,1278.9,1203.86,1133.22,1066.72,1004.12,945.202,889.737,837.528,788.382,742.12,698.572,657.58,618.993,582.671,548.48,516.295,485.999,457.481,430.636,405.366,381.579,359.188,338.111,318.271,299.595,282.015,265.466,249.889,235.225,3773.39
1894,3.42248,2010.72,3838.35,5465.82,6670.46,7458.49,7861.29,7991.77,7933.19,7750.88,7491.82,7188.33,6862.14,6527.59,6193.92,5866.97,5550.29,5245.95,4955.01,4677.89,4414.63,4164.97,3928.52,3704.8,3493.28,3293.39,3104.57,2926.28,2757.96,2599.11,2449.22,2307.81,2174.41,2048.6,1929.96,1838.27,1730.4,1628.86,1533.28,1443.31,1358.62,1278.9,1203.85,1133.21,1066.71,1004.12,945.197,889.733,837.523,788.378,742.116,698.569,657.577,618.99,582.668,548.477,516.293,485.997,457.479,430.634,405.364,381.578,359.187,338.11,318.269,299.593,282.013,265.465,249.887,235.224,3773.37
1895,3.40445,2000.59,3819.87,5440.65,6641.12,7406.52,7831.15,7962.53,7905.28,7724.12,7466.43,7164.69,6840.48,6507.95,6176.26,5851.16,5536.19,5233.39,4943.83,4667.96,4405.8,4157.13,3921.57,3698.64,3487.82,3288.55,3100.29,2922.49,2754.62,2596.16,2446.61,2305.5,2172.38,2046.81,1928.38,1816.71,1730.39,1628.85,1533.27,1443.3,1358.61,1278.89,1203.84,1133.2,1066.71,1004.11,945.191,889.727,837.518,788.373,742.111,698.564,657.573,618.987,582.665,548.474,516.29,485.994,457.476,430.631,405.362,381.575,359.185,338.108,318.268,299.592,282.012,265.463,249.886,235.223,3773.35
1896,3.38567,1990.05,3800.62,5414.45,6610.55,7373.9,7776.47,7931.89,7876.24,7696.84,7440.56,7140.34,6817.93,6487.36,6157.65,5834.46,5521.26,5220.08,4931.99,4657.42,4396.44,4148.81,3914.18,3692.09,3482.01,3283.41,3095.74,2918.46,2751.06,2593.01,2443.83,2303.05,2170.21,2044.9,1926.69,1815.21,1710.09,1628.84,1533.26,1443.29,1358.6,1278.88,1203.83,1133.19,1066.7,1004.1,945.183,889.72,837.511,788.366,742.105,698.559,657.567,618.982,582.66,548.47,516.286,485.99,457.472,430.628,405.359,381.572,359.182,338.105,318.265,299.59,282.01,265.461,249.884,235.221,3773.33
1897,3.3661,1979.07,3780.6,5387.18,6578.71,7339.92,7742.16,7876.44,7845.87,7668.51,7414.23,7115.56,6794.72,6465.96,6138.16,5816.87,5505.49,5206,4919.44,4646.25,4386.5,4139.99,3906.35,3685.13,3475.83,3277.93,3090.89,2914.17,2747.25,2589.65,2440.86,2300.42,2167.89,2042.85,1924.89,1813.62,1708.68,1609.73,1533.24,1443.27,1358.58,1278.86,1203.82,1133.18,1066.69,1004.09,945.173,889.711,837.503,788.359,742.098,698.552,657.561,618.976,582.654,548.465,516.281,485.986,457.468,430.624,405.355,381.569,359.179,338.102,318.262,299.587,282.007,265.459,249.882,235.219,3773.3
1898,3.34569,1967.63,3759.74,5358.79,6545.57,7304.56,7706.43,7841.63,7790.96,7638.88,7386.9,7090.34,6771.12,6443.94,6117.89,5798.45,5488.89,5191.12,4906.16,4634.43,4375.98,4130.63,3898.03,3677.74,3469.28,3272.12,3085.73,2909.6,2743.21,2586.07,2437.69,2297.62,2165.42,2040.67,1922.96,1811.92,1707.18,1608.4,1515.25,1443.26,1358.57,1278.85,1203.81,1133.17,1066.67,1004.08,945.163,889.701,837.494,788.35,742.09,698.545,657.554,618.969,582.648,548.459,516.276,485.981,457.464,430.62,405.351,381.565,359.175,338.099,318.259,299.584,282.005,265.457,249.88,235.217,3773.26
1899,3.3244,1955.7,3738.01,5329.23,6511.08,7267.73,7669.24,7805.38,7756.47,7585.37,7358.31,7064.17,6747.1,6421.53,6097.04,5779.29,5471.49,5175.46,4892.13,4621.91,4364.83,4120.72,3889.22,3669.91,3462.32,3265.94,3080.25,2904.74,2738.9,2582.25,2434.32,2294.64,2162.78,2038.34,1920.9,1810.1,1705.58,1606.99,1514,1426.32,1358.55,1278.83,1203.79,1133.15,1066.66,1004.07,945.152,889.691,837.484,788.341,742.082,698.537,657.547,618.962,582.642,548.453,516.27,485.975,457.458,430.615,405.347,381.561,359.171,338.095,318.256,299.581,282.002,265.454,249.877,235.215,3773.23
