"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40","Age41","Age42","Age43","Age44","Age45","Age46","Age47","Age48","Age49","Age50","Age51","Age52","Age53","Age54","Age55","Age56","Age57","Age58","Age59","Age60","Age61","Age62","Age63","Age64","Age65","Age66","Age67","Age68","Age69","Age70"
1890,7560.99,7080.93,6610.42,6170.04,5758.14,5373.33,5013.91,4678.06,4364.16,4070.74,3796.46,3540.13,3300.6,3076.85,2867.86,2672.72,2490.55,2320.53,2161.87,2013.84,1875.76,1746.98,1626.9,1514.94,1410.57,1313.29,1222.64,1138.16,1059.45,986.132,917.834,863.698,803.227,746.989,694.689,646.051,600.818,558.753,519.632,483.25,449.416,417.95,388.688,361.474,336.166,312.629,290.741,270.385,251.454,233.849,217.476,202.249,188.089,174.92,162.673,151.284,140.692,130.841,121.681,113.161,105.238,97.8701,91.0178,84.6453,78.7189,73.2074,68.0819,63.3152,58.8822,54.7596,727.361
1891,7527.74,7031.61,6585.16,6147.59,5738.04,5354.95,4997.03,4662.78,4350.45,4058.54,3785.67,3530.61,3292.23,3069.49,2861.41,2667.06,2485.59,2316.17,2158.05,2010.5,1872.83,1744.42,1624.66,1512.99,1408.87,1311.8,1221.34,1137.03,1058.47,985.274,917.086,853.569,803.224,746.987,694.687,646.049,600.816,558.751,519.63,483.249,449.414,417.949,388.686,361.473,336.165,312.628,290.74,270.384,251.453,233.848,217.475,202.249,188.088,174.92,162.673,151.283,140.691,130.841,121.68,113.161,105.238,97.8698,91.0175,84.645,78.7186,73.2072,68.0816,63.315,58.882,54.7594,727.358
1892,7493.08,7000.69,6539.3,6124.1,5717.16,5336.18,4979.77,4646.92,4336.09,4045.65,3774.21,3520.48,3283.32,3061.67,2854.54,2661.03,2480.3,2311.54,2153.98,2006.94,1869.72,1741.69,1622.27,1510.9,1407.04,1310.21,1219.95,1135.82,1057.41,984.351,916.282,852.868,793.799,746.979,694.68,646.043,600.81,558.745,519.625,483.244,449.41,417.945,388.683,361.469,336.161,312.625,290.737,270.381,251.451,233.846,217.473,202.247,188.087,174.918,162.671,151.282,140.69,130.84,121.679,113.16,105.237,97.8688,91.0166,84.6441,78.7178,73.2065,68.081,63.3143,58.8814,54.7589,727.351
1893,7457,6968.46,6510.54,6081.45,5695.31,5316.75,4962.29,4630.84,4321.32,4032.27,3762.21,3509.81,3273.9,3053.37,2847.26,2654.64,2474.69,2306.62,2149.67,2003.15,1866.4,1738.79,1619.73,1508.67,1405.1,1308.51,1218.46,1134.52,1056.28,983.366,915.422,852.119,793.147,738.214,694.673,646.036,600.804,558.739,519.619,483.239,449.405,417.94,388.678,361.465,336.158,312.622,290.734,270.378,251.448,233.843,217.471,202.245,188.085,174.916,162.669,151.28,140.688,130.838,121.678,113.158,105.236,97.8677,91.0156,84.6432,78.717,73.2057,68.0802,63.3136,58.8808,54.7583,727.343
1894,7419.44,6934.9,6480.56,6054.7,5655.64,5296.37,4944.08,4614.45,4306.24,4018.42,3749.66,3498.58,3263.92,3044.57,2839.52,2647.85,2468.74,2301.39,2145.09,1999.13,1862.87,1735.7,1617.02,1506.3,1403.02,1306.7,1216.88,1133.14,1055.07,982.31,914.501,851.316,792.446,737.603,686.517,646.025,600.794,558.73,519.611,483.231,449.398,417.933,388.672,361.459,336.152,312.617,290.729,270.374,251.444,233.839,217.467,202.241,188.081,174.913,162.667,151.278,140.686,130.836,121.676,113.157,105.234,97.8661,91.0141,84.6418,78.7157,73.2045,68.0791,63.3126,58.8798,54.7574,727.331
1895,7380.34,6899.97,6449.36,6026.83,5630.76,5259.43,4925.03,4597.43,4290.91,4004.32,3736.73,3486.87,3253.44,3035.27,2831.32,2640.64,2462.41,2295.84,2140.22,1994.86,1859.13,1732.41,1614.14,1503.78,1400.81,1304.76,1215.19,1131.66,1053.78,981.182,913.516,850.456,791.696,736.949,685.946,638.438,600.782,558.719,519.6,483.221,449.389,417.925,388.664,361.452,336.145,312.61,290.723,270.368,251.439,233.834,217.463,202.237,188.078,174.91,162.663,151.275,140.683,130.833,121.673,113.154,105.232,97.8642,91.0123,84.6401,78.7141,73.203,68.0777,63.3113,58.8786,54.7563,727.317
1896,7339.63,6863.61,6416.87,5997.81,5604.83,5236.21,4890.5,4579.54,4274.91,3989.91,3723.49,3474.74,3242.49,3025.48,2822.64,2632.99,2455.68,2289.94,2135.04,1990.32,1855.14,1728.91,1611.07,1501.09,1398.45,1302.7,1213.38,1130.08,1052.4,979.973,912.46,849.534,790.89,736.245,685.333,637.903,593.722,558.703,519.586,483.208,449.376,417.913,388.654,361.442,336.136,312.602,290.715,270.361,251.432,233.828,217.457,202.232,188.073,174.905,162.659,151.27,140.679,130.83,121.67,113.151,105.229,97.8615,91.0098,84.6378,78.7119,73.201,68.0759,63.3096,58.877,54.7548,727.297
1897,7297.21,6825.75,6383.05,5967.59,5577.84,5212.05,4868.82,4547.35,4258.2,3974.97,3710.03,3462.39,3231.18,3015.27,2813.51,2624.91,2448.56,2283.68,2129.54,1985.49,1850.91,1725.2,1607.81,1498.23,1395.95,1300.5,1211.45,1128.39,1050.92,978.683,911.333,848.549,790.03,735.494,684.677,637.33,593.222,552.136,519.57,483.193,449.362,417.901,388.642,361.431,336.126,312.592,290.706,270.353,251.424,233.821,217.45,202.225,188.067,174.899,162.654,151.266,140.675,130.826,121.666,113.148,105.226,97.8585,91.007,84.6352,78.7095,73.1987,68.0738,63.3076,58.8752,54.7531,727.274
1898,7252.96,6786.29,6347.84,5936.14,5549.74,5186.91,4846.27,4527.1,4228.19,3959.36,3696.08,3449.83,3219.66,3004.73,2804,2616.41,2441.03,2277.04,2123.71,1980.38,1846.42,1721.26,1604.36,1495.19,1393.28,1298.17,1209.41,1126.6,1049.35,977.308,910.13,847.497,789.111,734.691,683.975,636.718,592.687,551.669,513.461,483.176,449.347,417.886,388.628,361.419,336.114,312.581,290.696,270.343,251.415,233.813,217.443,202.218,188.06,174.893,162.648,151.261,140.67,130.821,121.662,113.144,105.222,97.8551,91.0039,84.6323,78.7068,73.1962,68.0714,63.3055,58.8732,54.7512,727.249
1899,7206.8,6745.14,6311.15,5903.4,5520.49,5160.74,4822.8,4506.05,4209.28,3931.38,3681.5,3436.81,3207.95,2993.99,2794.19,2607.56,2433.12,2270.04,2117.54,1974.95,1841.65,1717.08,1600.69,1491.97,1390.46,1295.68,1207.23,1124.69,1047.68,975.844,908.849,846.376,788.13,733.834,683.226,636.063,592.116,551.17,513.025,477.493,449.33,417.87,388.613,361.405,336.101,312.57,290.685,270.333,251.406,233.804,217.434,202.211,188.053,174.887,162.642,151.255,140.665,130.816,121.657,113.14,105.218,97.8514,91.0004,84.6291,78.7038,73.1934,68.0689,63.3031,58.8709,54.7491,727.222
1900,7158.67,6702.22,6272.88,5869.27,5490.03,5133.5,4798.38,4484.15,4189.63,3913.73,3655.43,3423.21,3195.81,2983.09,2784.19,2598.42,2424.88,2262.67,2111.01,1969.2,1836.6,1712.64,1596.79,1488.55,1387.46,1293.05,1204.92,1122.66,1045.9,974.286,907.484,845.181,787.085,732.92,682.427,635.365,591.505,550.637,512.559,477.086,444.044,417.853,388.597,361.39,336.088,312.557,290.673,270.322,251.396,233.794,217.425,202.202,188.045,174.88,162.635,151.249,140.659,130.811,121.652,113.135,105.214,97.8474,90.9967,84.6256,78.7006,73.1904,68.066,63.3004,58.8685,54.7469,727.192
