"Scenario","Year","catch","spawnbio low","depl low","spawnbio base","depl base","spawnbio high","depl high"
"0.35",2021,7405,64915.7,0.508586,97801.9,0.579137,131513,0.630493
"0.35",2022,7055,66221.7,0.518819,99956.5,0.591896,134550,0.645052
"0.35",2023,9412,65395.6,0.512346,99449.9,0.588896,134266,0.64369
"0.35",2024,8608,62150.2,0.48692,96660.8,0.57238,131626,0.631032
"0.35",2025,8101,59176.9,0.463626,94435.8,0.559205,129680,0.621706
"0.35",2026,7796,56750.3,0.444614,92908.5,0.550161,128548,0.616276
"0.35",2027,7649,54731.6,0.428798,91867.3,0.543996,127974,0.613525
"0.35",2028,7570,52951,0.414848,91099.4,0.539448,127714,0.612278
"0.35",2029,7504,51310.3,0.401994,90483.1,0.535799,127626,0.611857
"0.35",2030,7437,49770.1,0.389927,89966.5,0.53274,127646,0.611952
"0.35",2031,7342,48316.3,0.378537,89529.6,0.530153,127742,0.612414
"0.35",2032,7247,46955.5,0.367876,89175.4,0.528055,127911,0.613224
"0.45",2021,7405,64915.7,0.508586,97801.9,0.579137,131513,0.630493
"0.45",2022,7055,66221.7,0.518819,99956.5,0.591896,134550,0.645052
"0.45",2023,10825.0334108,65395.6,0.512346,99449.9,0.588896,134266,0.64369
"0.45",2024,9923.032826,61426.4,0.481249,95935.2,0.568084,130908,0.62759
"0.45",2025,9372.0323767,57786.8,0.452735,93014.4,0.550788,128302,0.615099
"0.45",2026,9070.0320169,54742.2,0.428881,90821.4,0.537802,126550,0.606699
"0.45",2027,8934.0317107,52125.7,0.408382,89129.7,0.527785,125375,0.601066
"0.45",2028,8888.0314348,49759.6,0.389844,87726.9,0.519478,124528,0.597006
"0.45",2029,8860.0311779,47532.4,0.372396,86483.4,0.512115,123858,0.593792
"0.45",2030,8810.0309375,45401.7,0.355703,85345.9,0.505379,123298,0.591106
"0.45",2031,8753.0307137,43363.6,0.339735,84304.1,0.49921,122829,0.588858
"0.45",2032,8684.0305064,41415.1,0.32447,83351,0.493566,122438,0.586987
"0.40",2021,7405,64915.7,0.508586,97801.9,0.579137,131513,0.630493
"0.40",2022,7055,66221.7,0.518819,99956.5,0.591896,134550,0.645052
"0.40",2023,10107,65395.6,0.512346,99449.9,0.588896,134266,0.64369
"0.40",2024,9252,61794.4,0.484132,96308,0.570291,131273,0.629341
"0.40",2025,8722,58493.9,0.458275,93761.3,0.555211,129004,0.618462
"0.40",2026,8421,55764.6,0.436892,91934.9,0.544396,127568,0.611581
"0.40",2027,8282,53451,0.418765,90601.9,0.536502,126699,0.607413
"0.40",2028,8218,51379.6,0.402537,89546.3,0.530252,126149,0.604776
"0.40",2029,8168,49448.7,0.387409,88643.3,0.524904,125774,0.60298
"0.40",2030,8117,47616,0.373051,87840,0.520148,125509,0.601707
"0.40",2031,8039,45869.2,0.359365,87117.4,0.515869,125324,0.600821
"0.40",2032,7950,44214.1,0.346398,86478.8,0.512087,125215,0.600299
