"","Estimate","Interval"
"Unfished Spawning Biomass (mt)","168,875","107,749–230,001"
"Unfished Age 4+ Biomass (mt)","393,647","242,084–545,210"
"Unfished Recruitment (R0)","16,392","6,586–26,198"
"Spawning Biomass (mt) (2021)","97,802","40,802–154,801"
"Fraction Unfished (2021)","0.58","0.38–0.77"
"Reference Points Based SB40 Percent","",""
"Proxy Spawning Biomass (mt) SB40 Percent)","67,550","43,100–92,000"
"SPR Resulting in SB40 Percent","0.464","0.464–0.464"
"Exploitation Rate Resulting in SB40 Percent","0.043","0.035–0.051"
"Yield with SPR Based On SB40 Percent (mt)","8,209","3,857–12,562"
"Reference Points Based on SPR Proxy for MSY","",""
"Proxy Spawning Biomass (mt) (SPR45)","64,848","41,376–88,320"
"SPR45","0.450"," - "
"Exploitation Rate Corresponding to SPR45","0.045","0.037–0.053"
"Yield with SPR45 at SB SPR (mt)","8,350","3,924–12,777"
"Reference Points Based on Estimated MSY Values","",""
"Spawning Biomass (mt) at MSY (SB MSY)","41,702","26,527–56,876"
"SPR MSY","0.328","0.324–0.331"
"Exploitation Rate Corresponding to SPR MSY","0.070","0.057–0.083"
"MSY (mt)","9,024","4,242–13,807"
