"Year","Total Biomass (mt)","Spawning Biomass (mt)","Total Biomass 4+ (mt)","Fraction Unfished","Age-0 Recruits","Total Mortality (mt)","(1-SPR)/(1-SPR_45%)","Exploitation Rate"
1926,"322,007","128,637","305,222","76.2","9,913",1718.9839,"0.239",0.00563191349247433
1927,"317,324","126,714","301,233","75.0","9,490",2563.451,"0.344",0.00850986113739199
1928,"311,579","124,330","296,474","73.6","9,250",2148.147,"0.299",0.00724565054608499
1929,"306,056","122,070","291,145","72.3","9,451",2330.492,"0.326",0.00800457503992856
1930,"300,310","119,643","285,821","70.8","9,365",2592.406,"0.367",0.00907003334254656
1931,"294,348","116,972","279,971","69.3","9,152",1428.116,"0.218",0.00510094259762618
1932,"289,605","114,916","275,158","68.0","8,771",1681.615,"0.260",0.00611145232920722
1933,"284,630","112,733","270,447","66.8","8,756",1558.888,"0.245",0.0057641164442571
1934,"279,822","110,717","266,021","65.6","8,659",2699.728,"0.407",0.0101485521819706
1935,"273,950","108,134","260,520","64.0","10,284",3461.876,"0.511",0.0132883310302472
1936,"267,870","105,171","254,136","62.3","7,800",2397.823,"0.390",0.00943519611546573
1937,"262,816","102,708","248,888","60.8","7,875",2570.53,"0.425",0.0103280592073543
1938,"257,597","100,260","243,652","59.4","10,039",2517.453,"0.425",0.0103321663684271
1939,"252,975","98,069","240,312","58.1","9,666",2793.336,"0.470",0.0116237890742035
1940,"248,579","95,759","234,837","56.7","9,075",2222.78,"0.388",0.00946520352414654
1941,"245,103","93,820","230,069","55.6","7,995",2190.67,"0.383",0.00952179563522248
1942,"241,652","92,209","227,525","54.6","8,079",3232.163,"0.543",0.0142057488188111
1943,"237,063","90,368","224,049","53.5","8,369",3926.95,"0.628",0.0175271927123085
1944,"231,729","88,491","219,698","52.4","8,437",4489.45,"0.704",0.0204346420996095
1945,"225,805","86,383","213,876","51.2","9,173",4422.03,"0.708",0.0206756718846434
1946,"220,201","84,072","207,920","49.8","8,036",4459.84,"0.732",0.0214497883801462
1947,"214,666","81,398","202,028","48.2","8,430",2315.083,"0.441",0.011459218524165
1948,"211,623","79,776","198,523","47.2","8,133",2972.18,"0.539",0.0149714642635866
1949,"208,171","78,139","195,683","46.3","9,241",3115.87,"0.569",0.0159230490129444
1950,"205,059","76,596","192,187","45.4","10,081",2793.47,"0.519",0.0145351662703513
1951,"202,939","75,367","189,512","44.6","9,834",4577.88,"0.750",0.0241561484233188
1952,"199,603","73,531","185,189","43.5","12,293",2830.29,"0.523",0.015283251165026
1953,"199,096","72,658","183,489","43.0","9,740",1779.624,"0.352",0.00969880483298726
1954,"199,998","72,562","183,775","43.0","11,545",2495.7,"0.462",0.0135801931709971
1955,"200,861","72,539","183,660","43.0","17,910",2347.03,"0.432",0.0127792115866275
1956,"204,001","72,963","186,119","43.2","14,913",3893.231,"0.603",0.0209179664623171
1957,"206,785","73,215","185,470","43.4","15,735",2764.61,"0.469",0.014905968620262
1958,"211,813","74,003","186,954","43.8","14,423",1694.824,"0.286",0.00906545995271564
1959,"218,398","76,205","195,332","45.1","21,143",2424.23,"0.387",0.0124108185038806
1960,"226,149","78,747","201,417","46.6","14,240",3140.2,"0.457",0.0155905410168953
1961,"233,028","81,279","207,679","48.1","15,712",1977.308,"0.294",0.00952098189995137
1962,"241,012","84,605","213,725","50.1","21,606",2938.96,"0.386",0.0137511287869926
1963,"249,214","88,140","224,918","52.2","13,504",2006.918,"0.275",0.00892288745231596
1964,"257,333","91,854","230,920","54.4","22,162",2254.89,"0.290",0.0097648103239217
1965,"266,341","95,449","237,401","56.5","15,610",2142.024,"0.266",0.00902280950796332
1966,"274,829","99,285","249,075","58.8","220,342",2106.051,"0.259",0.00845548931044866
1967,"335,666","103,099","253,644","61.1","10,773",5700.44,"0.483",0.0224741764047247
1968,"390,908","105,801","262,983","62.7","15,509",3359.94,"0.268",0.0127762631044592
1969,"442,934","117,917","268,474","69.8","10,284",5925.45,"0.445",0.0220708522985466
1970,"478,308","146,379","459,427","86.7","14,553",4982.18,"0.379",0.0108443343556212
1971,"500,821","176,229","480,207","104.4","10,794",4170.52,"0.282",0.00868483799694715
1972,"511,625","196,299","493,717","116.2","11,887",6991.06,"0.424",0.0141600552543259
1973,"510,472","205,308","491,151","121.6","18,010",6068.19,"0.409",0.0123550394888741
1974,"505,429","208,275","486,834","123.3","14,144",8995.28,"0.511",0.0184770989700801
1975,"494,039","204,892","472,486","121.3","20,932",14811.57,"0.758",0.0313481669298138
1976,"476,917","195,746","451,149","115.9","34,096",25045.64,"1.126",0.0555152288933368
1977,"454,316","179,811","424,521","106.5","13,567",9370.43,"0.664",0.0220729480991518
1978,"446,967","173,568","410,828","102.8","8,843",13006.32,"0.885",0.0316587963819409
1979,"433,933","166,961","400,110","98.9","58,709",24879.21,"1.328",0.0621809252455575
1980,"419,557","155,984","390,342","92.4","10,638",10058.19,"0.796",0.0257676345358685
1981,"418,078","152,668","379,433","90.4","19,930",12432.86,"0.889",0.0327669443617187
1982,"414,289","149,051","362,284","88.3","12,137",20442.89,"1.195",0.0564278024974882
1983,"399,415","144,988","378,975","85.9","4,138",15680.69,"1.042",0.0413765815687051
1984,"384,154","142,381","363,082","84.3","25,176",14734.11,"0.997",0.0405806677279513
1985,"370,974","138,846","353,853","82.2","23,428",14914.46,"1.055",0.0421487453829698
1986,"359,298","133,034","337,711","78.8","15,929",14104.25,"1.058",0.0417642599737646
1987,"348,846","126,423","315,440","74.9","3,420",13716.47,"1.073",0.0434836101952828
1988,"335,756","121,081","310,605","71.7","18,220",11456.3,"0.990",0.0368838235057388
1989,"325,473","117,897","307,837","69.8","11,616",11015.77,"0.965",0.0357844248742029
1990,"314,813","114,731","300,195","67.9","33,469",9759.06,"0.914",0.0325090691050817
1991,"310,687","110,981","283,270","65.7","1,399",10392.76,"0.973",0.0366885303773785
1992,"303,048","106,863","277,625","63.3","7,433",10281.74,"0.984",0.0370346330481765
1993,"293,824","103,876","267,656","61.5","3,850",8730.7,"0.888",0.0326191081089159
1994,"283,168","102,757","277,423","60.8","9,837",7968.2,"0.857",0.0287222039989475
1995,"272,436","100,679","262,596","59.6","24,340",8318.36,"0.906",0.0316774055964295
1996,"265,014","96,753","250,938","57.3","704",9042.94,"1.007",0.0360365508611689
1997,"254,933","91,619","235,548","54.3","541",8673.4,"1.071",0.0368222188258869
1998,"243,067","87,305","225,432","51.7","5,895",4673.2,"0.701",0.0207299762234288
1999,"234,111","85,897","231,783","50.9","21,515",6974.06,"0.969",0.0300887468019656
2000,"226,417","82,607","217,407","48.9","69,677",6697.35,"1.009",0.0308055858367026
2001,"235,580","78,017","202,295","46.2","17,571",6871.87,"0.993",0.0339695494204009
2002,"247,510","74,104","192,151","43.9","10,865",4513.93,"0.692",0.0234915769368882
2003,"260,995","75,411","198,234","44.7","2,277",5703.88,"0.727",0.0287734697377846
2004,"267,813","82,490","248,499","48.8","7,244",6092.07,"0.674",0.0245154708872068
2005,"269,384","90,497","258,167","53.6","500",6337.75,"0.655",0.0245490322155814
2006,"264,799","95,212","259,196","56.4","2,107",6210.87,"0.641",0.0239620595996852
2007,"256,132","96,184","249,884","57.0","768",5341.24,"0.581",0.0213748779433657
2008,"245,042","94,814","243,353","56.1","41,726",5928.94,"0.659",0.0243635377414702
2009,"241,872","91,042","229,030","53.9","2,030",7367.34,"0.825",0.032167576300048
2010,"236,498","85,112","213,797","50.4","16,187",7003.45,"0.872",0.032757475549236
2011,"234,090","80,352","197,753","47.6","6,446",6253.97,"0.971",0.0316251586575172
2012,"231,379","79,223","219,764","46.9","2,759",5283.6,"0.751",0.0240421543109882
2013,"227,296","79,605","210,986","47.1","34,308",4050.48,"0.611",0.0191978614694814
2014,"230,136","80,188","214,890","47.5","6,709",4294.9,"0.612",0.0199865047233468
2015,"231,760","79,676","210,057","47.2","18,011",5105.52,"0.712",0.0243054028192348
2016,"234,433","78,633","200,261","46.6","55,595",5401.39,"0.756",0.0269717518638177
2017,"247,736","79,327","218,814","47.0","10,689",5465.76,"0.683",0.0249790232800461
2018,"260,117","80,687","214,801","47.8","8,151",5220.22,"0.663",0.0243025870456841
2019,"270,037","83,925","220,274","49.7","6,274",5372.81,"0.617",0.0243914851503128
2020,"275,029","90,757","261,038","53.7","12,455",3882.69,"0.404",0.0148740413273163
2021,"278,378","97,802","265,655","57.9","15,208",7405,"0.676",0.0278744988801265
2022,"276,698","99,957","261,481","59.2","15,264",7055,"0.675",0.0269809278685641
2023,"274,881","99,450","253,540","58.9","15,251",10824.591195,"0.960",0.0426938202847677
2024,"269,477","95,944","246,090","56.8","15,157",9922.9204848,"0.957",0.0403223230720468
2025,"265,341","93,063","241,976","55.1","15,076",9371.6699373,"0.954",0.0387297497987404
2026,"262,107","90,925","238,823","53.8","15,013",9070.099475,"0.951",0.0379783332216746
2027,"259,435","89,291","236,280","52.9","14,963",8933.7290318,"0.948",0.037809924800237
2028,"257,087","87,942","234,037","52.1","14,921",8888.278651,"0.946",0.0379780917162671
2029,"254,921","86,744","231,955","51.4","14,882",8860.1682899,"0.943",0.0381977896139337
2030,"252,891","85,645","229,993","50.7","14,846",8810.3779146,"0.940",0.0383071568030331
2031,"251,001","84,634","228,162","50.1","14,812",8753.3275881,"0.937",0.0383645286598995
2032,"249,245","83,708","226,462","49.6","14,781",8683.9572784,"0.934",0.0383462005917108
