"Year","Total Biomass (mt)","Spawning Biomass (mt)","Total Biomass 4+ (mt)","Fraction Unfished","Age-0 Recruits","Total Mortality (mt)","(1-SPR)/(1-SPR_45%)","Exploitation Rate"
1890,"405,749","163,972","382,012","97.1","15,122",2.1431,"0.000",0.00000561003319267458
1891,"404,869","163,640","381,233","96.9","15,056",6.1557,"0.001",0.000016146818349933
1892,"403,935","163,290","380,417","96.7","14,986",6.83965,"0.001",0.0000179793489775694
1893,"402,950","162,923","379,566","96.5","14,914",10.1834,"0.001",0.0000268290626663084
1894,"401,911","162,533","378,633","96.2","14,839",12.4126,"0.001",0.0000327826681773644
1895,"400,820","162,119","377,653","96.0","14,761",16.8709,"0.002",0.0000446730199415866
1896,"399,677","161,680","376,625","95.7","14,679",18.9227,"0.002",0.0000502428144706273
1897,"398,483","161,219","375,550","95.5","14,594",20.9744,"0.002",0.0000558498202636134
1898,"397,237","160,738","374,430","95.2","14,506",23.0262,"0.003",0.0000614966749459178
1899,"395,939","160,235","373,262","94.9","14,414",25.078,"0.003",0.0000671860516205775
1900,"394,588","159,711","372,045","94.6","14,317",50.5478,"0.006",0.00013586474754398
1901,"393,158","159,152","370,757","94.2","14,217",78.76032,"0.009",0.000212431107167228
1902,"391,645","158,555","369,392","93.9","14,113",106.97681,"0.013",0.000289602400701694
1903,"390,049","157,920","367,949","93.5","14,005",135.19224,"0.016",0.000367421137168466
1904,"388,368","157,248","366,428","93.1","13,894",163.40828,"0.020",0.000445949217854531
1905,"386,602","156,537","364,827","92.7","13,780",147.19591,"0.018",0.000403467698388551
1906,"384,792","155,813","363,189","92.3","13,662",145.71911,"0.018",0.000401221154825724
1907,"382,924","155,069","361,497","91.8","13,540",154.0638,"0.019",0.000426182789898671
1908,"380,986","154,296","359,740","91.4","13,414",98.5609,"0.012",0.000273978150886752
1909,"379,037","153,534","357,980","90.9","13,285",155.9746,"0.019",0.00043570758142913
1910,"376,966","152,712","356,102","90.4","13,154",213.3868,"0.026",0.000599229434263217
1911,"374,772","151,831","354,106","89.9","13,023",270.7976,"0.034",0.000764735983010737
1912,"372,457","150,890","351,993","89.4","12,887",328.2081,"0.041",0.000932427917600634
1913,"370,023","149,890","349,764","88.8","12,745",385.6182,"0.048",0.00110250969224963
1914,"367,472","148,831","347,423","88.1","12,596",443.0266,"0.056",0.00127517924835143
1915,"364,804","147,715","344,973","87.5","12,443",499.9316,"0.064",0.00144919051635925
1916,"362,021","146,545","342,416","86.8","12,292",1332.6151,"0.166",0.00389180149292089
1917,"358,368","144,861","338,999","85.8","12,132",2019.326,"0.244",0.00595673143578595
1918,"354,001","142,821","334,914","84.6","11,973",2884.818,"0.345",0.00861360826958563
1919,"348,777","140,221","329,931","83.0","11,807",1042.424,"0.137",0.00315952123322755
1920,"345,374","138,705","326,759","82.1","11,644",894.548,"0.117",0.00273763844301152
1921,"342,093","137,334","323,747","81.3","11,479",1196.989,"0.156",0.00369729758113589
1922,"338,474","135,808","320,406","80.4","11,318",809.7338,"0.110",0.00252721172512375
1923,"335,206","134,441","317,359","79.6","11,152",1454.235,"0.194",0.00458230269190412
1924,"331,274","132,710","313,676","78.6","10,980",1864.835,"0.246",0.00594509940193065
1925,"326,912","130,764","309,597","77.4","9,776",2133.674,"0.284",0.00689177866710595
