"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
2003,1,"All_areas",104206.125348504,0.0844895574263045,7432.29586790611
2004,1,"All_areas",116110.611509882,0.0937842849616008,9129.15774416005
2005,1,"All_areas",102700.005600618,0.0814535711154959,7081.28638862877
2006,1,"All_areas",95086.9254587964,0.0815876013419378,6577.87704152872
2007,1,"All_areas",90326.9712717122,0.0815653237232998,6244.25921970764
2008,1,"All_areas",68190.0204511689,0.0816928940934183,4715.20104850086
2009,1,"All_areas",65089.8776970805,0.0835142937360072,4597.44921837582
2010,1,"All_areas",64132.2962009456,0.0802185501553861,4375.74460257852
2011,1,"All_areas",76797.2912106093,0.0800915057408373,5240.12477849543
2012,1,"All_areas",70353.0808019713,0.0870285887548438,5220.18686424639
2013,1,"All_areas",73225.7485769382,0.0948736604351159,5814.30070120648
2014,1,"All_areas",81945.9742216346,0.080863302956851,5647.05501712821
2015,1,"All_areas",81330.9215676151,0.0812932335367176,5617.73321738054
2016,1,"All_areas",79928.5185829767,0.0792170268780013,5406.64188631216
2017,1,"All_areas",105054.470561518,0.0811218398103096,7273.32065823801
2018,1,"All_areas",110541.360767641,0.082468722386634,7803.40991546263
2019,1,"All_areas",101410.346825377,0.115109651428639,9697.48917335834
2003,1,"South",24010.3564542235,0.157849174363212,3003.49235980957
2004,1,"South",26423.0711404748,0.13846250544671,2967.74842684009
2005,1,"South",30568.4081641316,0.123146053288739,3103.26162960069
2006,1,"South",25432.5990130013,0.12421314037239,2609.66748563916
2007,1,"South",28921.5091111121,0.117394763138066,2829.44862706942
2008,1,"South",19101.2774939582,0.127732395852863,2014.98180814707
2009,1,"South",20428.7688680576,0.126588960697902,2149.85250674179
2010,1,"South",15666.7624134486,0.124190459367768,1607.78331916691
2011,1,"South",17584.171152872,0.125247915139158,1817.74609821283
2012,1,"South",15392.4546055347,0.133194023036707,1679.95737769652
2013,1,"South",20741.4597351204,0.162647806911992,2705.44089206208
2014,1,"South",17220.9703802404,0.131059979012879,1849.57694564556
2015,1,"South",16883.5095385915,0.135712929428464,1879.86129307502
2016,1,"South",15615.8503842756,0.131285252313935,1678.20682804756
2017,1,"South",18877.0643246476,0.131305975632841,2028.75169890074
2018,1,"South",18735.7311017576,0.128840174296959,1980.24505539345
2019,1,"South",20760.1077155414,0.180277759637338,2985.26136840493
2003,1,"North",80195.7688942812,0.0840528937117004,5794.55826453897
2004,1,"North",89687.5403694081,0.0979400888675207,7434.48475044819
2005,1,"North",72131.5974364862,0.0851783870358081,5258.62648532286
2006,1,"North",69654.3264457952,0.0859172850939099,5121.86408524841
2007,1,"North",61405.4621606003,0.0864901969533572,4536.69769057537
2008,1,"North",49088.7429572103,0.084894231839049,3560.76916657595
2009,1,"North",44661.1088290233,0.0872336250351898,3320.71457283874
2010,1,"North",48465.5337874973,0.0837868738644188,3485.67470757853
2011,1,"North",59213.1200577374,0.0836094070527231,4256.85078508704
2012,1,"North",54960.6261964365,0.0891979085149075,4225.26734394693
2013,1,"North",52484.2888418176,0.0936023739321724,4179.43303268214
2014,1,"North",64725.0038413944,0.0842302564907133,4693.48982143207
2015,1,"North",64447.4120290234,0.0839027584761546,4635.86342940229
2016,1,"North",64312.6681987011,0.0816586625889312,4529.4511068172
2017,1,"North",86177.4062368695,0.0844878559502944,6269.72979984269
2018,1,"North",91805.6296658836,0.0862954831817564,6839.16566399492
2019,1,"North",80650.2391098356,0.117646605166736,7963.07902033004
