"Year","TotalCatch.2005.mt","SSB.2005.mt","Recruits.2005.thous","X1...SPR.2005","Age2PlusBio.2007.mt","SSB.2007.mt","Recruits.2007.thous","TotalCatch.2007.mt","X1.SPR.2007","Age4PlusBio.2011.mt","Recruits.2011.thous","SSB.2011.mt","X1.SPR.2011","TotalCatch.2011.mt","Age4PlusBio.2015","Recruits.2015.mt","SSB.2015.mt","X1.SPR.2015","TotalCatch.2015","SSB.2019.mt"
1891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142636
1892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142275
1893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141895
1894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141490
1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141059
1896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140601
1897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140120
1898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139614
1899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139086
1900,NA,NA,NA,NA,464394,244803,17635,0,0,492765,21166.1,178804,0.00235,50.0919,402136,16015.6,146687,0.00308,50.0181,138533
1901,NA,NA,NA,NA,464403,244809,17635,56.60904,0.00244,492063,21104.2,178544,0.00362,77.2334,401370,15954.4,146402,0.00474,77.0893,137941
1902,NA,NA,NA,NA,464359,244788,17634.8,113.21938,0.00488,491302,21039.3,178259,0.00499,106.47,400548,15890.2,146093,0.00652,106.222,137309
1903,NA,NA,NA,NA,464262,244740,17633.6,169.8314,0.00732,490483,20969,177943,0.00627,133.611,399666,15822.6,145751,0.0082,133.293,136636
1904,NA,NA,NA,NA,464111,244662,17631.8,226.4457,0.00975,489545,20896.4,177595,0.00765,162.848,398662,15751.3,145378,0.01,162.426,135921
1905,NA,NA,NA,NA,463908,244555,17629.2,283.0644,0.01219,488536,20819.8,177215,0.00687,145.908,397586,15676,144972,0.00897,145.481,135164
1906,NA,NA,NA,NA,463652,244418,17625.9,339.6874,0.01462,487502,20736.3,176826,0.00612,129.969,396486,15598.3,144557,0.008,129.536,134393
1907,NA,NA,NA,NA,463347,244253,17621.9,396.316,0.01705,486444,20656.2,176428,0.00537,114.122,395365,15518.8,144133,0.007,113.652,133597
1908,NA,NA,NA,NA,462993,244059,17617.2,452.9479,0.01949,485362,20566.8,176024,0.00462,98.1838,394222,15436.9,143703,0.00601,97.706,132771
1909,NA,NA,NA,NA,462591,243838,17611.9,509.5853,0.02192,484256,20481.2,175613,0.00674,142.354,393055,15352.2,143267,0.0088,141.782,131953
1910,NA,NA,NA,NA,462144,243591,17605.9,566.2282,0.02436,483063,20381.9,175166,0.00896,188.619,391806,15264.1,142796,0.01173,187.919,131072
1911,NA,NA,NA,NA,461654,243318,17599.2,622.8755,0.0268,481783,20288.1,174683,0.01111,232.789,390470,15173.3,142289,0.01456,231.994,130128
1912,NA,NA,NA,NA,461121,243020,17592,679.5272,0.02924,480411,20181.9,174163,0.01331,277.96,389048,15080.6,141746,0.01747,277.07,129120
1913,NA,NA,NA,NA,460547,242700,17584.2,736.1845,0.03169,478951,20081.1,173604,0.01553,323.222,387539,14986.6,141166,0.0204,322.206,128050
1914,NA,NA,NA,NA,459934,242356,17575.8,792.8472,0.03413,477395,19970.6,173008,0.01776,368.392,385943,14889.8,140550,0.02336,367.281,126919
1915,NA,NA,NA,NA,459284,241990,17566.9,849.5155,0.03658,475751,19859.6,172373,0.01996,412.561,384261,14787.3,139896,0.02629,411.356,125729
1916,NA,NA,NA,NA,458597,241604,17557.4,906.1882,0.03903,474011,19737,171700,0.06447,1357.26,382496,14677,139208,0.08453,1354.02,124482
1917,NA,NA,NA,NA,457875,241197,17547.4,962.8665,0.04149,471327,19603,170578,0.10145,2205.82,379783,14552.8,138067,0.13069,2193.99,122707
1918,NA,NA,NA,NA,457120,240771,17537,1019.5504,0.04395,467782,19456.1,169081,0.14512,3169.25,376216,14422.6,136548,0.18762,3158.47,120565
1919,NA,NA,NA,NA,456332,240326,17526,1076.2398,0.04641,463240,19299,167093,0.06294,1302.64,371656,14285.3,134536,0.08229,1295.66,117856
1920,NA,NA,NA,NA,455513,239862,17514.5,1132.9357,0.04888,460428,19154.7,165937,0.04669,983.244,368855,14160,133363,0.05974,972.016,116264
1921,NA,NA,NA,NA,454664,239382,17502.6,1189.6393,0.05135,457976,19010.7,164969,0.06901,1453.42,366444,14034.9,132388,0.08854,1438.73,114818
1922,NA,NA,NA,NA,453785,238885,17490.3,1246.3434,0.05382,455100,18856.9,163817,0.03527,720.913,363620,13904.3,131235,0.04568,714.005,113214
1923,NA,NA,NA,NA,452879,238372,17477.5,1303.0581,0.0563,452878,18705.1,162970,0.08108,1667.66,361454,13774.6,130397,0.10547,1656.37,111780
1924,NA,NA,NA,NA,451946,237843,17464.3,1359.773,0.05879,449754,18540.5,161713,0.08385,1734.44,358392,13634.5,129151,0.10817,1718.84,109974
1925,NA,NA,NA,NA,450987,237300,17450.7,1416.499,0.06128,446522,18375.4,160438,0.09484,1941.25,355243,13493.1,127891,0.12311,1926.88,107949
1926,NA,NA,NA,NA,450002,236742,17436.7,1473.226,0.06377,443048,18200.6,159048,0.0765,1522.28,351859,13349,126522,0.10044,1513.24,105745
1927,NA,NA,NA,NA,448994,236170,17422.2,1529.963,0.06627,439920,18029.5,157815,0.10441,2121.93,348845,13203.6,125316,0.13534,2104.86,103759
1928,NA,NA,NA,NA,447962,235585,17407.4,1586.711,0.06878,436221,17844.3,156341,0.09021,1826.85,345275,13050.1,123874,0.11616,1807.41,101312
1929,NA,NA,NA,NA,446907,234987,17392.3,1643.459,0.07129,432766,17657.5,155008,0.09886,2010.65,341973,12895,122579,0.12649,1986.47,99020.6
1930,NA,NA,NA,NA,445831,234377,17376.7,1700.219,0.07381,429115,17465,153607,0.11367,2284.29,338493,12739.3,121226,0.14654,2261.34,96580.9
1931,NA,NA,NA,NA,444734,233755,17360.8,1756.978,0.07633,425147,17268.7,152059,0.06425,1254.67,334724,12583.4,119735,0.08298,1239.46,93919.3
1932,NA,NA,NA,NA,443616,233121,17344.6,1813.749,0.07886,422099,17079.7,150938,0.07399,1433.01,331903,12433.2,118684,0.09593,1417.19,91914.3
1933,NA,NA,NA,NA,442479,232476,17328,2211.661,0.09553,418879,16880.6,149740,0.07312,1411.3,328931,12276.3,117565,0.09449,1394.41,89789.7
1934,NA,NA,NA,NA,441007,231666,17307,2577.395,0.1107,415649,16674.5,148554,0.10804,2098.29,325971,12113.4,116465,0.13953,2075.51,87834.1
1935,NA,NA,NA,NA,439228,230694,17281.8,2928.669,0.12529,411731,16459.4,147066,0.13748,2695.98,322333,11941.5,115071,0.17643,2665.51,85303.6
1936,NA,NA,NA,NA,437158,229560,17252.1,1924.698,0.08491,407178,16233.4,145316,0.10379,1912.59,318087,11769.8,113422,0.13724,1900.19,82397
1937,NA,NA,NA,NA,436045,228877,17234.2,2015.534,0.08876,403244,16013.6,143804,0.1016,1834.95,314493,11596.7,112023,0.13536,1825.49,80028.4
1938,NA,NA,NA,NA,434907,228200,17216.3,1769.949,0.07863,399360,15794.7,142302,0.0945,1685.63,310970,11422.7,110642,0.12601,1676.07,77643
1939,NA,NA,NA,NA,434045,227672,17202.4,2054.857,0.09073,395595,15583,140867,0.1146,2041.55,307600,11253.8,109334,0.15271,2031.05,75442.6
1940,NA,NA,NA,NA,432968,227058,17186.1,1670.698,0.07483,391471,15385.7,139264,0.08224,1424.69,303876,11096.3,107866,0.1102,1416.32,73133.7
1941,NA,NA,NA,NA,432278,226640,17175,1531.678,0.06936,387876,15214.3,137927,0.08963,1549.84,300705,10958.3,106671,0.11967,1539.65,71224.6
1942,NA,NA,NA,NA,431745,226322,17166.5,2370.922,0.10463,384127,15052.9,136535,0.1507,2666.55,297403,10826.9,105430,0.19713,2663.76,69583.1
1943,NA,NA,NA,NA,430470,225654,17148.6,3112.781,0.13695,379303,14882.7,134697,0.18441,3366.76,293023,10679.6,103738,0.23478,3361.46,67634.2
1944,NA,NA,NA,NA,428486,224657,17121.8,3673.4,0.16137,373771,14702.7,132653,0.19927,3644.34,287953,10522.7,101842,0.25114,3637.8,65639.1
1945,NA,NA,NA,NA,425954,223379,17087.2,3914.05,0.17301,367855,14529.5,130507,0.22212,4037.08,282546,10366,99859.2,0.27975,4029.96,63490.2
1946,NA,NA,NA,NA,423181,221953,17048.3,3293.182,0.14668,361466,14382.7,128162,0.21688,3744.77,276705,10244.9,97695,0.28095,3740.24,61244.7
1947,NA,NA,NA,NA,421069,220748,17015.2,1465.836,0.06777,355226,14298.9,125753,0.12063,1929.49,271057,10182.6,95489.4,0.16159,1913.86,58726.2
1948,NA,NA,NA,NA,420755,220382,17005.1,2160.459,0.09908,350760,14302.2,124062,0.15386,2524.12,267200,10179,94018.3,0.20255,2497.26,57319.3
1949,NA,NA,NA,NA,419885,219837,16990,2270.974,0.10391,346034,14368.9,122236,0.13932,2240.75,263052,10231.8,92398.6,0.18416,2216.25,55896
1950,NA,249836,21851,0.932,418974,219302,16975.2,1912.813,0.08839,341812,14524.9,120608,0.12938,2075.95,259356,10357.2,90962.2,0.16992,2048.67,54597.1
1951,NA,246974,15784,0.889,418443,218963,16965.8,3031.59,0.13712,337975,14803,119162,0.20276,3429.77,255982,10565.1,89692.4,0.25973,3377.42,53621.9
1952,NA,242061,17231,0.932,416885,218178,16943.8,1734.953,0.08119,333137,15202.8,117320,0.1298,2062.85,251577,10886.8,88008,0.16984,2032.37,51980.4
1953,NA,237464,16037,0.958,416564,217941,16937.2,1080.607,0.05066,329785,15802.7,116085,0.10901,1691.98,248621,11372,86917.9,0.14417,1668.72,51309.2
1954,NA,233707,14081,0.927,416923,218034,16939.8,1923.11,0.08811,327195,16637.5,115129,0.14965,2393.06,246349,12045.7,86084.4,0.19595,2359.88,51446
1955,NA,230038,19365,0.926,416547,217823,16933.9,1923,0.08806,324499,17704.5,114095,0.14271,2271.38,243893,12927.7,85136.5,0.1877,2239.81,51679.1
1956,NA,226691,13122,0.845,416189,217625,16928.3,3868.18,0.17623,322565,19064.8,113324,0.20621,3661.42,242057,14043.4,84409.1,0.25772,3578.01,52356.5
1957,NA,222810,14555,0.878,413864,216626,16900.2,3138.52,0.14211,320282,20720.1,112465,0.16246,2650.29,239721,15433.6,83541.4,0.21376,2615.01,52896.2
1958,NA,219192,10647,0.919,412285,215788,16876.5,1922.396,0.09178,319766,22698,112142,0.09808,1609.66,239006,17118.5,83156.6,0.12904,1581.95,53985.9
1959,NA,216386,14521,0.883,411844,215484,16867.8,2844.4,0.13226,321592,24994.2,112702,0.1354,2324.24,240372,19116.5,83581.4,0.17725,2287.56,56463.3
1960,NA,212977,15303,0.847,410576,214826,16849.1,3710.39,0.16896,324444,27488.4,113564,0.16702,3029.5,242581,21293.6,84213.6,0.21686,2983.28,59527.5
1961,NA,208797,17193,0.88,408514,213786,16819.3,2709.15,0.12843,328681,30060.1,114826,0.10445,1906.49,245807,23605.2,85139.5,0.13693,1877.41,62948.2
1962,NA,204942,22409,0.852,407389,213160,16801.3,3272.4,0.15444,336142,32625.1,117268,0.138,2849.11,251930,26352.7,87132.3,0.17566,2790.77,69694.5
1963,NA,201129,14904,0.896,405735,212325,16777.1,2286.624,0.11029,345432,35245.2,120342,0.0931,1928.53,259597,29955.1,89645.9,0.12004,1896.8,81751.3
1964,NA,198312,28225,0.882,405075,211899,16764.8,2724.74,0.12867,358164,37853.9,124625,0.09772,2190.98,270449,37214.9,93262.3,0.12433,2156.06,94162.1
1965,NA,196257,20571,0.883,404082,211327,16748.1,2705.66,0.129,373556,27085.5,129830,0.08637,2070.09,283671,20768.7,97759.2,0.10837,2047.43,103644
1966,NA,195160,25430,0.922,403131,210803,16732.8,1796.11,0.08665,391727,27796.4,136099,0.07795,2010.23,300000,20848,103410,0.0953,1977.21,110669
1967,NA,195489,18080,0.816,403115,210687,16729.4,4758.35,0.20966,412677,28753.2,143409,0.16309,4487.63,320162,20551.3,110708,0.19429,4422.87,117800
1968,NA,195499,27005,0.875,400423,209315,16689.1,3147.25,0.14697,433768,34069.4,149289,0.10537,2881.16,345257,21806.4,116623,0.12479,2829.06,126880
1969,NA,197178,14946,0.781,399201,208608,16668.2,6036.62,0.26204,445528,42019,155109,0.19679,5730.61,356283,23552.4,122407,0.23268,5629.46,140481
