"Year","TotalCatch.2005.mt","SSB.2005.mt","Recruits.2005.thous","X1...SPR.2005","Age2PlusBio.2007.mt","SSB.2007.mt","Recruits.2007.thous","TotalCatch.2007.mt","X1.SPR.2007","Age4PlusBio.2011.mt","Recruits.2011.thous","SSB.2011.mt","X1.SPR.2011","TotalCatch.2011.mt","Age4PlusBio.2015","Recruits.2015.mt","SSB.2015.mt","X1.SPR.2015","TotalCatch.2015","SSB.2019.mt"
1970,NA,197777,31570,0.839,395322,206644,16609.7,4218.118,0.19895,453594,37078.2,159117,0.16655,4980.96,362715,24646.3,126085,0.19893,4830.87,158648
1971,NA,199636,17706,0.827,393012,205435,16573.3,4532.883,0.21292,461937,29949.7,163461,0.13877,4219.16,368056,53984.8,129356,0.17142,4100.54,174886
1972,NA,201228,17640,0.731,390426,204089,12226.1,7801.976,0.3373,475143,21976.8,168902,0.21602,7054.38,374081,20759.1,132432,0.26985,7034.18,184470
1973,NA,201329,25687,0.773,384789,201302,34500.6,6176.076,0.28704,493134,21672.9,173542,0.18473,6140.68,378502,14391.3,134230,0.22313,6123.05,186690
1974,NA,202539,14969,0.689,378195,199088,16779.6,9492.24,0.38898,507468,19277.8,178043,0.27208,9139.92,384605,10472.4,139454,0.32323,9045.47,186134
1975,NA,201375,20515,0.62,380112,194958,24811.6,11634.2,0.44295,511411,33453.1,179436,0.41557,15321.8,415205,15607.9,142418,0.46878,15082.2,181085
1976,NA,198855,16479,0.346,374689,191487,19180.6,26105.8,0.70041,500678,54464.3,176479,0.60905,26450.3,411453,49378.1,141276,0.64455,25891.4,172398
1977,NA,189010,23549,0.641,359802,182509,20563.9,9956.31,0.40414,477991,14631.2,166863,0.31969,9427.81,389358,10682.6,132894,0.35863,9293.11,159658
1978,NA,186202,15897,0.51,358036,181322,15722.1,14634.39,0.52526,467910,7900.35,165216,0.41535,13156.1,377438,7254.91,130855,0.46881,12985.5,157415
1979,NA,181346,27681,0.31,352447,178571,21553.3,25879.39,0.72678,466633,43351.9,164610,0.63323,25655.1,365721,34505.6,129830,0.69524,25130.2,154181
1980,NA,171261,16549,0.612,333618,170687,14419.2,9832.72,0.41881,471705,22781.2,157523,0.33137,9721.63,372777,19487.4,122346,0.38882,9594.33,144902
1981,NA,168571,17943,0.546,332106,168855,15958.9,12317.41,0.49614,460126,28544.5,155108,0.40033,12351.1,362741,23347.9,120419,0.4561,12125.3,143038
1982,18900,165600,15981,0.375,325291,166347,12870.2,19774.68,0.67596,438255,18375.7,153177,0.58289,20842.1,345728,12731.6,118835,0.62625,20364,139745
1983,14417,160090,10433,0.458,310962,160174,7880.32,15446.77,0.61072,437364,6752.71,147775,0.52181,16227.2,344556,5040.16,114082,0.5642,15901.1,134086
1984,13355,155928,13009,0.463,298454,155054,10025.3,14489,0.62074,425694,20093.1,144216,0.5109,15553.2,335741,15914.3,111180,0.55942,15132.8,129733
1985,16071,151928,21753,0.389,283756,149662,14217.1,14735.01,0.65982,419103,32384.7,140349,0.52878,15504.6,330523,26777.4,107978,0.58485,15134.9,124643
1986,14279,145757,17387,0.404,268482,142833,10159.9,14087.24,0.68017,403541,24833.4,134469,0.52481,14493,316087,22596.3,103066,0.58451,14206,117390
1987,13885,136769,17402,0.406,255509,135740,13136.7,13226.15,0.62873,379047,17537.2,128737,0.52318,13951.9,295497,14362.9,98263.9,0.58558,13682.1,109742
1988,12673,134318,14782,0.406,242926,128070,10344,11214.65,0.58833,365842,15274.4,124548,0.47897,11856.4,284467,13691.7,94832.5,0.53616,11617.6,103861
1989,11646,130329,16744,0.445,233769,121875,13130.3,10743.14,0.58433,365892,27221.7,121772,0.46803,11416.8,285507,19961.4,92958.2,0.5179,11130.6,100543
1990,10510,127067,17676,0.479,224875,116672,13522.9,9515.46,0.55037,362037,29375.1,119233,0.42794,10108.5,285090,25798.2,91350,0.47391,9842.36,97762.4
1991,10529,124268,10610,0.475,219595,112358,7319.26,9974.3,0.57487,353782,9943.63,116773,0.44245,10482.9,279389,8681.06,89999.2,0.49349,10284.6,94831.1
1992,10623,122065,7081,0.47,214457,108787,5685.22,9740.039,0.57297,343272,10319.5,114912,0.43836,10339.3,272546,8887.24,88797,0.48911,10103.9,91315.5
1993,9355,120140,4890,0.51,207239,105902,4902.54,8358.898,0.52636,343208,6187.46,114145,0.40223,8908.9,271370,5635.42,88626,0.4483,8732.75,88883.5
1994,8393,118875,9126,0.548,199705,103341,8815.09,7705.47,0.50405,347126,15593.8,112799,0.39494,8185.86,276886,13092.4,88044,0.43818,8032.33,87781.9
1995,8947,116921,13643,0.507,191297,100408,11752.3,8023.25,0.53258,335484,21700.2,110589,0.42534,8538.05,268573,21416,86756.6,0.46829,8381.86,85549.4
1996,9449,113201,3585,0.486,184112,96348.9,3069.61,8562.063,0.57404,322571,1850.9,106824,0.45888,8999.06,258958,2042.99,84140.4,0.5022,8902.62,81398.6
1997,8953,107854,1897,0.453,178471,91846,2103.55,8143.653,0.57655,305227,2778.5,102798,0.46111,8625.3,245598,2483.06,81207.7,0.50627,8501.31,76208.1
1998,4968,102859,8955,0.631,169836,88183.7,8833.27,4415.033,0.38659,296138,7583.22,99603.1,0.30595,4714.35,238889,6732.68,79241.3,0.33744,4641.31,71771.4
1999,7494,99856,21978,0.482,163198,86069.7,27388.3,6661.658,0.52431,296715,34963.5,96766,0.44099,7210.53,243628,33339.6,77759.4,0.47175,7041.41,69934.5
2000,6994,95567,22334,0.485,156707,82138.1,25357.5,6310.379,0.51486,278685,23239.7,92141.7,0.44297,6928.1,229930,25634.5,74570.7,0.47742,6822.94,66326.7
2001,6358,91135,14167,0.528,160731,78033.7,16790,6126.515,0.50121,261064,15572.2,87301.1,0.41175,6350.88,216046,16523.3,71065.9,0.44553,6249.06,61824.7
2002,4237,87240,8747,0.662,170389,76036.2,9735.29,4047.03,0.35779,248681,6559.86,85517.7,0.29474,4193.67,206699,6878.16,70426.1,0.31744,4140.43,58927.2
2003,6077,86657,3516,0.586,180820,79135.5,4751.91,5473.53,0.41259,263206,2822.98,85931.4,0.36693,5714.64,223869,2907.49,72244.4,0.38436,5673.38,61368.3
2004,6181,87628,8718,0.591,187805,83707.3,17506.4,5818.006,0.38959,269258,4696.78,86324.1,0.38159,6141.09,235913,5991.44,74192.1,0.39468,6088.03,66583.7
2005,NA,NA,NA,NA,189558,88531,2626.83,5766.372,0.36328,268617,535.369,85741,0.40915,6586.93,239977,641.575,75199.9,0.42096,6545.62,71451.4
2006,NA,NA,NA,NA,195837,91607,5277.78,5543.04,0.33981,258686,1929.76,83508,0.42056,6558.49,233814,1821.78,74484.6,0.42962,6515.59,73499.4
2007,NA,NA,NA,NA,194615,93831.2,9580.57,NA,NA,244103,1205.39,80139.2,0.39104,5544.08,222408,1317.19,72608.9,0.39684,5499.59,72787.3
2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,231261,26988.7,75949,0.45359,6237.26,213512,28067.8,69740.5,0.45942,6163.55,70583.2
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,213810,1518.12,70773.3,0.5579,7756.12,198689,1681.38,65697.6,0.56601,7724.84,66591.9
2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,196299,20734.3,64499.6,0.57204,7344.25,183228,16124.5,60360.2,0.5768,7276.24,60844.5
2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,179514,16722.9,60956.6,NA,NA,168371,5183.03,57637.4,0.57582,6726.63,56029.8
2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178288,3974.09,54799.7,0.52246,5493.75,54047.6
2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168704,46246.6,53841.2,0.44886,4305.49,53475.4
2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172655,3671.31,53125.2,0.45122,4460.99,53617.3
2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167549,13067.4,52000.9,NA,NA,53171.7
2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52468.9
2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53372.7
2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54624.3
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57443.9
